MC_samples M E
1 0.145 -0.59
2 0.21 -0.71
3 0.193333 -0.746667
4 0.1875 -0.79
5 0.179 -0.826
6 0.154167 -0.836667
7 0.140714 -0.845714
8 0.1325 -0.86625
9 0.138333 -0.876667
10 0.156 -0.899
11 0.171818 -0.910909
12 0.17625 -0.92
13 0.180385 -0.931538
14 0.184286 -0.942143
15 0.183667 -0.954667
16 0.1875 -0.963125
17 0.195882 -0.971765
18 0.198611 -0.970556
19 0.202105 -0.974737
20 0.206 -0.978
21 0.208095 -0.982857
22 0.211591 -0.983182
23 0.216087 -0.985652
24 0.225 -0.992917
25 0.2354 -1.0024
26 0.246154 -1.00885
27 0.257037 -1.0137
28 0.267321 -1.0225
29 0.276724 -1.03241
30 0.284667 -1.04
31 0.292903 -1.04742
32 0.300312 -1.05594
33 0.307424 -1.06697
34 0.312794 -1.07382
35 0.317143 -1.08171
36 0.320278 -1.08694
37 0.322838 -1.09027
38 0.324342 -1.09421
39 0.326923 -1.09692
40 0.330625 -1.09925
41 0.333902 -1.10341
42 0.337262 -1.10857
43 0.341047 -1.1107
44 0.344773 -1.11386
45 0.349556 -1.11822
46 0.353696 -1.12
47 0.358085 -1.12234
48 0.362812 -1.12396
49 0.367245 -1.12816
50 0.3713 -1.1332
51 0.374608 -1.1351
52 0.376731 -1.13692
53 0.376981 -1.13736
54 0.378889 -1.13852
55 0.380455 -1.14018
56 0.381518 -1.14214
57 0.382544 -1.14526
58 0.383793 -1.14914
59 0.384746 -1.15203
60 0.386 -1.15617
61 0.386311 -1.16164
62 0.386935 -1.16565
63 0.386508 -1.1681
64 0.3875 -1.17094
65 0.388538 -1.17369
66 0.390303 -1.17606
67 0.391866 -1.17642
68 0.393456 -1.17735
69 0.394203 -1.17667
70 0.394786 -1.17557
71 0.395775 -1.17606
72 0.396389 -1.17597
73 0.396644 -1.17603
74 0.395541 -1.17554
75 0.395067 -1.17587
76 0.395263 -1.17526
77 0.395455 -1.17416
78 0.395962 -1.17397
79 0.396709 -1.17304
80 0.39675 -1.172
81 0.397716 -1.17198
82 0.398841 -1.17207
83 0.399277 -1.17072
84 0.400655 -1.16857
85 0.402235 -1.16741
86 0.403953 -1.16849
87 0.405632 -1.16897
88 0.406875 -1.16875
89 0.407865 -1.1682
90 0.409167 -1.16789
91 0.41033 -1.1678
92 0.410598 -1.16826
93 0.409892 -1.16731
94 0.408777 -1.16628
95 0.407421 -1.16474
96 0.405469 -1.16396
97 0.40366 -1.16361
98 0.402041 -1.16286
99 0.401616 -1.16242
100 0.4007 -1.1626
101 0.400545 -1.16297
102 0.400245 -1.16382
103 0.399757 -1.16408
104 0.398798 -1.16337
105 0.397429 -1.16314
106 0.396274 -1.1634
107 0.39514 -1.16271
