T M E Susceptibility Cv
2.00000 0.885104 -1.73626 27.0821 2.66004
2.00500 1.75832 -3.46899 2835.85 -5383.32
2.01000 2.62232 -5.19540 2832.69 -16026.7
2.01500 3.26556 -6.88712 1054.52 -31528.8
2.02000 4.10471 -8.59966 5645.56 -52181.3
2.02500 4.96076 -10.3145 7737.43 -77813.9
2.03000 5.51070 -11.9766 7941.10 -107380.
2.03500 6.23088 -13.6619 6667.84 -141942.
2.04000 7.08525 -15.3674 10583.4 -181555.
2.04500 7.94409 -17.0670 11911.9 -225634.
2.05000 8.81361 -18.7644 10613.6 -274166.
2.05500 9.63091 -20.4523 14348.1 -326831.
2.06000 10.1624 -22.0898 13684.1 -382063.
2.06500 10.9552 -23.7652 10996.0 -442702.
2.07000 11.8286 -25.4495 16430.2 -507823.
2.07500 12.6979 -27.1287 13621.4 -576838.
2.08000 13.5567 -28.8024 18925.5 -649630.
2.08500 14.4230 -30.4745 21677.8 -726280.
2.09000 15.2696 -32.1365 21462.6 -806290.
2.09500 16.1209 -33.7957 24096.8 -889917.
2.10000 16.9692 -35.4495 24230.4 -976933.
2.10500 17.7907 -37.0973 26436.0 -1.06721E+06
2.11000 18.6400 -38.7450 26480.7 -1.16101E+06
2.11500 19.4877 -40.3848 24072.7 -1.25779E+06
2.12000 20.2325 -42.0028 19907.2 -1.35653E+06
2.12500 21.0262 -43.6251 13432.9 -1.45881E+06
2.13000 21.7913 -45.2363 5343.87 -1.56351E+06
2.13500 22.5964 -46.8494 -5377.55 -1.67145E+06
2.14000 23.4020 -48.4595 7566.33 -1.78225E+06
2.14500 24.1899 -50.0610 -2870.58 -1.89539E+06
2.15000 24.9988 -51.6625 -15691.6 -2.01146E+06
2.15500 25.7967 -53.2578 -828.819 -2.12991E+06
2.16000 26.5744 -54.8416 11531.1 -2.25023E+06
2.16500 27.3880 -56.4310 22276.7 -2.37373E+06
2.17000 28.1974 -58.0139 30734.6 -2.49939E+06
2.17500 28.9211 -59.5685 36364.6 -2.62517E+06
2.18000 29.7089 -61.1355 40540.2 -2.75456E+06
2.18500 30.4918 -62.6948 38287.5 -2.88573E+06
2.19000 31.2760 -64.2522 34027.3 -3.01914E+06
2.19500 32.0466 -65.7949 40055.7 -3.15354E+06
2.20000 32.7586 -67.3303 43796.2 -3.28949E+06
2.20500 33.3754 -68.8349 45724.6 -3.42461E+06
2.21000 34.0827 -70.3511 44920.6 -3.56298E+06
2.21500 34.8184 -71.8669 42357.1 -3.70340E+06
2.22000 35.5230 -73.3695 38252.6 -3.84449E+06
2.22500 36.1928 -74.8574 43584.5 -3.98601E+06
2.23000 36.7773 -76.3296 40207.5 -4.12771E+06
2.23500 37.4960 -77.8151 34596.9 -4.27269E+06
2.24000 38.1768 -79.2912 27760.5 -4.41845E+06
2.24500 38.8409 -80.7530 35790.6 -4.56438E+06
2.25000 39.5223 -82.2182 42457.6 -4.71238E+06
2.25500 40.2285 -83.6847 47914.2 -4.86223E+06
2.26000 40.8327 -85.1225 47178.1 -5.01036E+06
2.26500 41.3016 -86.5277 49015.1 -5.15613E+06
2.27000 41.9104 -87.9487 45648.9 -5.30523E+06
2.27500 42.4822 -89.3564 41417.1 -5.45417E+06
2.28000 43.0135 -90.7505 43977.3 -5.60281E+06
2.28500 43.5567 -92.1404 39437.1 -5.75225E+06
2.29000 44.0429 -93.5100 34623.1 -5.90042E+06
2.29500 44.5867 -94.8906 40682.1 -6.05121E+06
2.30000 45.0584 -96.2552 40287.2 -6.20118E+06
