T M E Susceptibility Cv
T M E Susceptibility Cv
2.00000 0.891481 -1.74163 0.400239 1.23886
2.00500 0.892184 -1.73829 -90.9336 1.18863
2.01000 0.894931 -1.73546 -23.9624 1.14099
2.01500 0.896373 -1.73232 0.414362 1.07388
2.02000 0.898729 -1.72908 -22.0084 1.01260
2.02500 0.891665 -1.72442 -20.0968 1.11510
2.03000 0.892355 -1.72091 -87.0800 1.07419
2.03500 0.889124 -1.71682 -21.6468 1.11776
2.04000 0.889177 -1.71302 -85.2776 1.08440
2.04500 0.879605 -1.70787 -329.240 1.20534
2.05000 0.880283 -1.70388 0.426181 1.19920
2.05500 0.882382 -1.70060 -84.2473 1.11985
2.06000 0.881589 -1.69656 -341.912 1.10078
2.06500 0.878362 -1.69192 -20.9978 1.15208
2.07000 0.876423 -1.68770 -186.156 1.15379
2.07500 0.864532 -1.68170 0.301827 1.30048
2.08000 0.871936 -1.67896 -185.794 1.15779
2.08500 0.866446 -1.67386 -20.5447 1.21659
2.09000 0.863506 -1.66932 -19.5677 1.23864
2.09500 0.855850 -1.66382 -22.5547 1.32272
2.10000 0.862694 -1.66066 -79.0651 1.19162
2.10500 0.858475 -1.65526 -19.9467 1.22510
2.11000 0.852536 -1.64977 -17.2385 1.29390
2.11500 0.847949 -1.64490 -21.8895 1.30915
2.12000 0.851280 -1.64067 -18.7146 1.22770
2.12500 0.846276 -1.63521 -18.1477 1.28471
2.13000 0.842068 -1.62963 -17.6202 1.29650
2.13500 0.840708 -1.62474 -18.3559 1.29921
2.14000 0.835723 -1.61914 -18.5293 1.32269
2.14500 0.829767 -1.61355 -295.292 1.38360
2.15000 0.827023 -1.60771 -17.8464 1.37515
2.15500 0.822221 -1.60175 -17.9878 1.42182
2.16000 0.818431 -1.59613 -156.541 1.43284
2.16500 0.813462 -1.59015 -15.1895 1.45902
2.17000 0.809578 -1.58375 -67.0317 1.45547
2.17500 0.806346 -1.57795 0.369672 1.44916
2.18000 0.798842 -1.57147 -65.5698 1.50130
2.18500 0.790789 -1.56412 -54.3435 1.56051
2.19000 0.789311 -1.55821 -64.4718 1.53727
2.19500 0.783779 -1.55170 -15.0396 1.57491
2.20000 0.779611 -1.54538 -15.7279 1.55747
2.20500 0.769455 -1.53716 -16.7910 1.65272
2.21000 0.762440 -1.53019 -58.3172 1.66612
2.21500 0.757754 -1.52318 -13.9878 1.65011
2.22000 0.746267 -1.51489 -54.4776 1.77095
2.22500 0.740225 -1.50780 -17.9308 1.74266
2.23000 0.721984 -1.49716 -8.73284 1.87808
2.23500 0.716399 -1.49019 -6.24376 1.88296
2.24000 0.704660 -1.48247 -3.44638 1.90732
2.24500 0.689073 -1.47211 -25.6794 1.98371
2.25000 0.678392 -1.46372 -39.5143 2.00008
2.25500 0.653502 -1.45261 -101.284 2.10063
2.26000 0.642490 -1.44360 -87.3226 2.13292
2.26500 0.615718 -1.43227 -2.52797 2.21653
2.27000 0.595920 -1.42199 -37.9165 2.22010
2.27500 0.568423 -1.40999 -1.45987 2.25801
2.28000 0.550921 -1.39990 0.111726 2.26764
2.28500 0.514292 -1.38803 -0.885204 2.29674
2.29000 0.500748 -1.37943 0.136867 2.27568
2.29500 0.469245 -1.36762 0.195787 2.22539
2.30000 0.439885 -1.35561 -6.78155 2.17014
