T M E Susceptibility Cv
2.00000 0.911355 -1.74560 0.380874 0.718697
2.00500 0.909643 -1.74191 0.396368 0.728398
2.01000 0.907995 -1.73825 0.408275 0.738323
2.01500 0.906203 -1.73450 0.427965 0.751111
2.02000 0.904447 -1.73071 0.449302 0.758944
2.02500 0.902622 -1.72687 0.460390 0.765797
2.03000 0.900829 -1.72304 0.481670 0.782255
2.03500 0.898745 -1.71890 0.511883 0.792197
2.04000 0.896879 -1.71497 0.530491 0.801886
2.04500 0.894889 -1.71099 0.554006 0.819817
2.05000 0.892775 -1.70679 0.583946 0.827518
2.05500 0.890681 -1.70257 0.600739 0.837189
2.06000 0.888492 -1.69837 0.632665 0.848700
2.06500 0.886183 -1.69399 0.658984 0.857864
2.07000 0.883939 -1.68961 0.693466 0.877442
2.07500 0.881522 -1.68517 0.732561 0.892753
2.08000 0.879192 -1.68078 0.765453 0.901480
2.08500 0.876593 -1.67616 0.836245 0.917036
2.09000 0.874048 -1.67155 0.856985 0.927715
2.09500 0.871466 -1.66690 0.898916 0.941379
2.10000 0.868935 -1.66217 0.921142 0.952267
2.10500 0.865912 -1.65724 1.00717 0.977902
2.11000 0.863079 -1.65235 1.05450 0.988357
2.11500 0.860155 -1.64738 1.12800 1.00726
2.12000 0.856864 -1.64219 1.21557 1.02812
2.12500 0.853728 -1.63700 1.29304 1.04426
2.13000 0.850251 -1.63171 1.46987 1.06057
2.13500 0.847099 -1.62647 1.43637 1.07921
2.14000 0.843255 -1.62104 1.65260 1.10434
2.14500 0.839819 -1.61545 1.63711 1.11359
2.15000 0.835591 -1.60966 1.83045 1.13832
2.15500 0.831434 -1.60396 2.09211 1.17122
2.16000 0.827309 -1.59814 2.23882 1.18653
2.16500 0.823715 -1.59255 2.26596 1.20872
2.17000 0.819034 -1.58638 2.44331 1.23101
2.17500 0.812995 -1.57951 2.95627 1.27713
2.18000 0.808124 -1.57318 3.04765 1.28003
2.18500 0.803066 -1.56684 3.28193 1.30420
2.19000 0.797742 -1.56039 3.58416 1.34829
2.19500 0.791694 -1.55358 3.98115 1.38029
2.20000 0.784986 -1.54656 4.68195 1.41542
2.20500 0.777384 -1.53937 6.36829 1.46824
2.21000 0.771328 -1.53222 6.28520 1.50281
2.21500 0.763107 -1.52455 6.84858 1.51977
2.22000 0.753276 -1.51648 8.64068 1.60211
2.22500 0.746990 -1.50931 8.54121 1.59301
2.23000 0.734350 -1.50063 12.2994 1.69107
2.23500 0.720459 -1.49142 18.5453 1.77037
2.24000 0.706342 -1.48227 20.6790 1.85525
2.24500 0.690574 -1.47305 30.1853 1.91817
2.25000 0.673576 -1.46309 34.7184 2.04721
2.25500 0.647517 -1.45184 50.0312 2.15092
2.26000 0.628680 -1.44228 63.4820 2.24453
2.26500 0.587624 -1.42982 102.364 2.42955
2.27000 0.564448 -1.41893 101.942 2.32261
2.27500 0.542395 -1.40875 110.941 2.47683
2.28000 0.498551 -1.39575 131.308 2.49687
2.28500 0.452861 -1.38318 144.884 2.45424
2.29000 0.397957 -1.37002 158.257 2.38139
2.29500 0.371904 -1.35938 150.546 2.28578
2.30000 0.333489 -1.34875 144.430 2.13505
2.30500 0.307529 -1.33884 135.590 2.03895
2.31000 0.275621 -1.32882 122.839 1.93011
2.31500 0.259001 -1.32053 114.182 1.86227
2.32000 0.237644 -1.31185 101.602 1.76564
2.32500 0.230753 -1.30457 95.4406 1.71003
2.33000 0.198779 -1.29524 84.0644 1.63938
2.33500 0.185092 -1.28727 72.2518 1.55587
2.34000 0.176433 -1.27973 67.7611 1.52326
2.34500 0.165950 -1.27310 61.8267 1.48771
2.35000 0.155243 -1.26616 54.6604 1.43898
2.35500 0.149074 -1.25899 48.8751 1.40961
2.36000 0.142227 -1.25286 47.3726 1.38892
2.36500 0.133065 -1.24596 42.1209 1.34476
2.37000 0.126852 -1.23959 37.2287 1.30766
2.37500 0.126667 -1.23370 38.0098 1.29317
2.38000 0.115315 -1.22723 32.3460 1.27044
2.38500 0.112433 -1.22167 30.9534 1.24162
2.39000 0.109324 -1.21550 28.9515 1.22277
2.39500 0.104441 -1.21018 27.2658 1.21108
2.40000 0.105573 -1.20412 26.3280 1.19197
2.40500 0.0990941 -1.19862 23.4813 1.17515
2.41000 0.0963995 -1.19340 23.2894 1.14942
2.41500 0.0933785 -1.18799 21.7185 1.13366
2.42000 0.0899644 -1.18227 20.3022 1.11560
2.42500 0.0872081 -1.17674 19.1193 1.09934
2.43000 0.0870128 -1.17209 18.6242 1.08685
2.43500 0.0824790 -1.16688 17.5416 1.06249
2.44000 0.0800707 -1.16198 16.3143 1.05736
2.44500 0.0783259 -1.15705 15.3530 1.04096
2.45000 0.0780891 -1.15188 15.2046 1.02531
2.45500 0.0760125 -1.14707 14.4953 1.01495
2.46000 0.0749610 -1.14246 13.9455 1.00862
2.46500 0.0735747 -1.13772 13.7198 0.990912
2.47000 0.0716077 -1.13294 12.7373 0.978008
2.47500 0.0696699 -1.12833 12.3250 0.968512
2.48000 0.0695597 -1.12398 12.0667 0.956843
2.48500 0.0679566 -1.11949 11.7052 0.947152
2.49000 0.0670544 -1.11495 11.0603 0.930152
2.49500 0.0643912 -1.11055 10.6848 0.919509
2.50000 0.0644401 -1.10628 10.4446 0.914257
