MC_samples M E
1 0.02 -0.6
2 0.0325 -0.675
3 0.0416667 -0.72
4 0.09 -0.8025
5 0.133 -0.852
6 0.171667 -0.896667
7 0.203571 -0.932857
8 0.235 -0.965
9 0.269444 -0.991111
10 0.301 -1.015
11 0.331364 -1.04364
12 0.361667 -1.07
13 0.384615 -1.09692
14 0.405357 -1.11214
15 0.421333 -1.12867
16 0.434063 -1.13813
17 0.439118 -1.14118
18 0.443056 -1.14333
19 0.442895 -1.14316
20 0.4435 -1.1445
21 0.440238 -1.13857
22 0.436136 -1.13091
23 0.431304 -1.12652
24 0.426042 -1.12375
25 0.4174 -1.1172
26 0.405385 -1.10962
27 0.391481 -1.10407
28 0.377857 -1.10393
29 0.366034 -1.10207
30 0.356167 -1.098
31 0.345806 -1.09226
32 0.336719 -1.08656
33 0.328485 -1.08303
34 0.322059 -1.08529
35 0.316714 -1.08914
36 0.31375 -1.0925
37 0.310946 -1.09486
38 0.306711 -1.09263
39 0.301795 -1.09282
40 0.29875 -1.09425
41 0.295854 -1.0978
42 0.294643 -1.10167
43 0.294651 -1.10558
44 0.295227 -1.10955
45 0.295778 -1.11067
46 0.294783 -1.11239
47 0.293298 -1.11426
48 0.292813 -1.11583
49 0.293061 -1.11837
50 0.2934 -1.1232
51 0.294706 -1.12471
52 0.296346 -1.12731
53 0.296981 -1.12717
54 0.296019 -1.12759
55 0.294273 -1.12636
56 0.293571 -1.12554
57 0.294123 -1.12596
58 0.29569 -1.12586
59 0.297881 -1.12627
60 0.299417 -1.1275
61 0.301148 -1.12754
62 0.301855 -1.12823
63 0.301349 -1.12841
64 0.300859 -1.12641
65 0.300231 -1.12523
66 0.298561 -1.12379
67 0.29694 -1.12149
68 0.295441 -1.11926
69 0.291957 -1.11884
70 0.288357 -1.12
71 0.284718 -1.12141
72 0.280903 -1.12153
73 0.278493 -1.12192
74 0.275 -1.12297
75 0.2716 -1.12253
76 0.268421 -1.12079
77 0.265844 -1.11935
78 0.263013 -1.11936
79 0.260886 -1.11861
80 0.258125 -1.11775
81 0.255556 -1.11716
82 0.252988 -1.11549
83 0.250663 -1.1153
84 0.248512 -1.11571
85 0.246176 -1.11565
86 0.244826 -1.1164
87 0.243678 -1.11701
88 0.242386 -1.11705
89 0.241011 -1.11663
90 0.239167 -1.11656
91 0.237527 -1.11692
92 0.235598 -1.11804
93 0.234247 -1.11871
94 0.232713 -1.11926
95 0.231842 -1.11926
96 0.230729 -1.11875
97 0.228711 -1.11845
98 0.226531 -1.11765
99 0.224495 -1.11727
100 0.2232 -1.1168
101 0.221683 -1.11782
102 0.220735 -1.11961
103 0.219417 -1.12107
104 0.218654 -1.12308
105 0.21819 -1.12371
106 0.217406 -1.12434
107 0.217757 -1.12393
108 0.218935 -1.12306
109 0.219862 -1.12128
110 0.220955 -1.12073
111 0.221892 -1.12009
112 0.223438 -1.1192
113 0.226062 -1.11982
114 0.228158 -1.11974
115 0.230435 -1.11991
116 0.232974 -1.11983
117 0.236368 -1.12145
118 0.239322 -1.12322
119 0.242143 -1.12437
120 0.24525 -1.12542
121 0.248802 -1.12636
122 0.252541 -1.1277
123 0.256382 -1.12992
124 0.260242 -1.13177
125 0.26452 -1.13432
126 0.268492 -1.13643
127 0.272047 -1.13827
128 0.275156 -1.13969
129 0.278566 -1.14147
130 0.281577 -1.14223
131 0.284351 -1.14305
132 0.287652 -1.14591
133 0.290677 -1.14812
134 0.293993 -1.15067
135 0.296889 -1.152
136 0.299596 -1.1536
137 0.302299 -1.15496
138 0.304783 -1.1563
139 0.307086 -1.15827
140 0.308857 -1.15929
141 0.310426 -1.15986
142 0.312007 -1.16063
143 0.313531 -1.16119
144 0.315035 -1.16181
145 0.316552 -1.16262
146 0.318527 -1.16336
147 0.320238 -1.16449
148 0.321689 -1.16622
149 0.323154 -1.16711
150 0.324733 -1.16753
151 0.326325 -1.16894
152 0.327664 -1.16908
153 0.328954 -1.16948
154 0.329903 -1.16896
155 0.330129 -1.16865
156 0.329968 -1.16821
157 0.32965 -1.16713
158 0.329557 -1.16652
159 0.329874 -1.16579
160 0.33 -1.16538
161 0.330559 -1.16609
162 0.33108 -1.16679
163 0.331472 -1.16724
164 0.331951 -1.16695
165 0.332667 -1.16697
166 0.333133 -1.16699
167 0.333144 -1.16659
168 0.333423 -1.16679
169 0.333669 -1.16675
170 0.333765 -1.16706
171 0.333743 -1.16778
172 0.333663 -1.1682
173 0.333526 -1.16896
174 0.333362 -1.16908
175 0.333257 -1.16983
176 0.333437 -1.17017
177 0.333616 -1.16949
178 0.333876 -1.16927
179 0.334721 -1.16978
180 0.3355 -1.16989
181 0.336492 -1.17039
182 0.337802 -1.17099
183 0.338661 -1.17213
184 0.339701 -1.17326
185 0.340541 -1.17438
186 0.341398 -1.17543
187 0.342807 -1.1762
188 0.344043 -1.17686
189 0.345291 -1.17746
190 0.346605 -1.17795
191 0.347775 -1.1789
