MC_samples M E
1 0.965 -1.87
2 0.945 -1.81
3 0.921667 -1.75333
4 0.905 -1.72
5 0.878 -1.65
6 0.855 -1.57833
7 0.827143 -1.52286
8 0.809375 -1.49
9 0.788333 -1.46778
10 0.7725 -1.448
11 0.758182 -1.44091
12 0.743333 -1.42333
13 0.731538 -1.40769
14 0.7275 -1.40643
15 0.723333 -1.39867
16 0.72375 -1.40125
17 0.725 -1.39882
18 0.724167 -1.40222
19 0.725263 -1.41
20 0.723 -1.4115
21 0.719524 -1.4119
22 0.718409 -1.41227
23 0.719565 -1.4113
24 0.720208 -1.41042
25 0.721 -1.4096
26 0.719231 -1.40692
27 0.718889 -1.40333
28 0.719643 -1.40107
29 0.721379 -1.40172
30 0.7245 -1.40667
31 0.725968 -1.40806
32 0.727812 -1.41063
33 0.731061 -1.41364
34 0.731912 -1.41206
35 0.733 -1.41114
36 0.734583 -1.41139
37 0.736622 -1.41432
38 0.738158 -1.41474
39 0.740513 -1.41718
40 0.74325 -1.42025
41 0.744756 -1.42122
42 0.746905 -1.42262
43 0.748953 -1.42442
44 0.750568 -1.42432
45 0.752111 -1.42467
46 0.75337 -1.425
47 0.754043 -1.42383
48 0.752917 -1.42292
49 0.752857 -1.42265
50 0.7518 -1.4216
51 0.750294 -1.42039
52 0.749712 -1.42
53 0.748396 -1.41868
54 0.746204 -1.41537
55 0.743455 -1.41145
56 0.741875 -1.41054
57 0.740439 -1.40947
58 0.74 -1.40966
59 0.739746 -1.40966
60 0.739667 -1.41
61 0.739344 -1.40984
62 0.738468 -1.40839
63 0.738571 -1.40825
64 0.737891 -1.40703
65 0.737 -1.40585
66 0.736515 -1.40455
67 0.736418 -1.40403
68 0.736544 -1.40426
69 0.737246 -1.40594
70 0.737429 -1.40671
71 0.736972 -1.40606
72 0.736458 -1.40569
73 0.735753 -1.40466
74 0.735811 -1.40514
75 0.7358 -1.40413
76 0.735526 -1.40303
77 0.735584 -1.40221
78 0.735385 -1.40141
79 0.735443 -1.40076
80 0.735563 -1.40037
81 0.736111 -1.40136
82 0.736341 -1.40195
83 0.736205 -1.40133
84 0.736012 -1.40048
85 0.736412 -1.40141
86 0.736453 -1.40151
87 0.735862 -1.40057
88 0.735455 -1.39943
89 0.734888 -1.39899
90 0.734667 -1.39833
91 0.733736 -1.39758
92 0.733587 -1.39696
93 0.732957 -1.39538
94 0.732926 -1.39543
95 0.732684 -1.39579
96 0.732448 -1.39583
97 0.732577 -1.39608
98 0.732347 -1.39551
99 0.731616 -1.39333
100 0.73 -1.3896
101 0.728713 -1.38832
102 0.726912 -1.38618
103 0.724709 -1.38379
104 0.7225 -1.38038
105 0.720048 -1.37705
106 0.717547 -1.37481
107 0.715607 -1.37374
108 0.713565 -1.37287
109 0.711239 -1.37183
110 0.708455 -1.36864
111 0.705631 -1.36559
112 0.702991 -1.3633
113 0.700044 -1.36088
114 0.6975 -1.35886
115 0.695087 -1.35739
116 0.692543 -1.35621
117 0.689744 -1.3547
118 0.686653 -1.35314
119 0.684076 -1.35269
120 0.681833 -1.35325
121 0.679421 -1.3524
122 0.67709 -1.35213
123 0.674715 -1.35146
124 0.6725 -1.35048
125 0.67036 -1.3496
126 0.668175 -1.34825
127 0.666339 -1.34693
128 0.664805 -1.34555
129 0.662752 -1.34341
130 0.661 -1.34223
131 0.660076 -1.34221
132 0.65947 -1.3425
133 0.658647 -1.34241
134 0.658545 -1.34291
135 0.658 -1.34274
136 0.65761 -1.34265
137 0.656788 -1.34204
138 0.655652 -1.34109
139 0.65482 -1.34036
140 0.654536 -1.33971
141 0.653688 -1.33879
142 0.652641 -1.33782
143 0.651329 -1.33671
144 0.650104 -1.3359
145 0.648621 -1.33448
146 0.647397 -1.3324
147 0.646565 -1.33102
148 0.646216 -1.33074
149 0.646275 -1.3306
150 0.6464 -1.33067
151 0.645497 -1.32954
152 0.64477 -1.32862
153 0.644085 -1.32771
154 0.644188 -1.32753
155 0.644645 -1.32865
156 0.644615 -1.32955
157 0.644777 -1.32924
158 0.644905 -1.32924
159 0.644748 -1.32899
160 0.644625 -1.32925
161 0.644379 -1.32932
162 0.644506 -1.33012
163 0.645031 -1.33049
164 0.645152 -1.32988
165 0.645121 -1.32988
166 0.64506 -1.32904
167 0.64524 -1.3288
168 0.644881 -1.32827
169 0.64503 -1.32846
170 0.645235 -1.32876
171 0.645789 -1.32895
172 0.646192 -1.32878
173 0.646445 -1.32879
174 0.646322 -1.32816
175 0.646114 -1.32789
176 0.646563 -1.32795
177 0.646723 -1.32847
178 0.646685 -1.3286
179 0.646648 -1.32855
180 0.646472 -1.32828
181 0.645884 -1.32785
182 0.645165 -1.32698
183 0.644454 -1.32716
184 0.643587 -1.32701
185 0.642514 -1.32665
186 0.641801 -1.32629
187 0.641684 -1.32599
188 0.641436 -1.32548
189 0.640952 -1.32481
190 0.6405 -1.32442
191 0.640131 -1.32393
192 0.639948 -1.3238
193 0.639326 -1.32332
194 0.638351 -1.32263
195 0.637256 -1.32138
196 0.636301 -1.32015
197 0.635533 -1.31944
198 0.634874 -1.31975
199 0.633894 -1.31905
200 0.633 -1.3184
201 0.631741 -1.31756
202 0.630693 -1.31723
203 0.629261 -1.3167
204 0.628211 -1.31608
205 0.626951 -1.31566
206 0.626238 -1.31578
207 0.625725 -1.31589
208 0.624928 -1.31591
209 0.623995 -1.31565
210 0.622714 -1.31438
211 0.621398 -1.31389
212 0.619882 -1.31344
213 0.618638 -1.31225
214 0.61771 -1.31121
215 0.616651 -1.30944
216 0.615718 -1.30829
217 0.614931 -1.307
218 0.614289 -1.30615
