Time, X-pos, Y-pos
0.0001 1 0
0.0002 1 0.000628319
0.0003 1 0.00125664
0.0004 0.999999 0.00188496
0.0005 0.999998 0.00251327
0.0006 0.999996 0.00314159
0.0007 0.999994 0.00376991
0.0008 0.999992 0.00439822
0.0009 0.999989 0.00502653
0.001 0.999986 0.00565485
0.0011 0.999982 0.00628316
0.0012 0.999978 0.00691146
0.0013 0.999974 0.00753977
0.0014 0.999969 0.00816807
0.0015 0.999964 0.00879637
0.0016 0.999959 0.00942467
0.0017 0.999953 0.010053
0.0018 0.999946 0.0106812
0.0019 0.99994 0.0113095
0.002 0.999932 0.0119378
0.0021 0.999925 0.0125661
0.0022 0.999917 0.0131944
0.0023 0.999909 0.0138226
0.0024 0.9999 0.0144509
0.0025 0.999891 0.0150791
0.0026 0.999882 0.0157074
0.0027 0.999872 0.0163356
0.0028 0.999861 0.0169639
0.0029 0.999851 0.0175921
0.003 0.99984 0.0182203
0.0031 0.999828 0.0188485
0.0032 0.999816 0.0194768
0.0033 0.999804 0.020105
0.0034 0.999792 0.0207332
0.0035 0.999779 0.0213613
0.0036 0.999765 0.0219895
0.0037 0.999751 0.0226177
0.0038 0.999737 0.0232459
0.0039 0.999722 0.023874
0.004 0.999707 0.0245022
0.0041 0.999692 0.0251303
0.0042 0.999676 0.0257584
0.0043 0.99966 0.0263865
0.0044 0.999644 0.0270146
0.0045 0.999627 0.0276427
0.0046 0.999609 0.0282708
0.0047 0.999591 0.0288989
0.0048 0.999573 0.0295269
0.0049 0.999555 0.030155
0.005 0.999536 0.030783
0.0051 0.999516 0.0314111
0.0052 0.999497 0.0320391
0.0053 0.999477 0.0326671
0.0054 0.999456 0.0332951
0.0055 0.999435 0.033923
0.0056 0.999414 0.034551
0.0057 0.999392 0.035179
0.0058 0.99937 0.0358069
0.0059 0.999347 0.0364348
0.006 0.999325 0.0370627
0.0061 0.999301 0.0376906
0.0062 0.999278 0.0383185
0.0063 0.999254 0.0389464
0.0064 0.999229 0.0395742
0.0065 0.999204 0.0402021
0.0066 0.999179 0.0408299
0.0067 0.999153 0.0414577
0.0068 0.999127 0.0420855
0.0069 0.999101 0.0427132
0.007 0.999074 0.043341
0.0071 0.999047 0.0439687
0.0072 0.999019 0.0445964
0.0073 0.998991 0.0452241
0.0074 0.998963 0.0458518
0.0075 0.998934 0.0464795
0.0076 0.998905 0.0471071
0.0077 0.998875 0.0477348
0.0078 0.998845 0.0483624
0.0079 0.998815 0.04899
0.008 0.998784 0.0496176
0.0081 0.998753 0.0502451
0.0082 0.998721 0.0508726
0.0083 0.998689 0.0515002
0.0084 0.998657 0.0521277
0.0085 0.998624 0.0527551
0.0086 0.998591 0.0533826
0.0087 0.998557 0.05401
0.0088 0.998523 0.0546374
0.0089 0.998489 0.0552648
0.009 0.998454 0.0558922
0.0091 0.998419 0.0565195
0.0092 0.998384 0.0571469
0.0093 0.998348 0.0577742
0.0094 0.998312 0.0584014
0.0095 0.998275 0.0590287
0.0096 0.998238 0.0596559
0.0097 0.9982 0.0602831
0.0098 0.998162 0.0609103
0.0099 0.998124 0.0615375
0.01 0.998086 0.0621646
0.0101 0.998046 0.0627918
0.0102 0.998007 0.0634188
0.0103 0.997967 0.0640459
0.0104 0.997927 0.064673
0.0105 0.997886 0.0653
0.0106 0.997845 0.065927
0.0107 0.997804 0.0665539
0.0108 0.997762 0.0671809
0.0109 0.99772 0.0678078
0.011 0.997677 0.0684347
0.0111 0.997634 0.0690615
0.0112 0.997591 0.0696883
0.0113 0.997547 0.0703152
0.0114 0.997503 0.0709419
0.0115 0.997458 0.0715687
0.0116 0.997413 0.0721954
0.0117 0.997368 0.0728221
0.0118 0.997322 0.0734488
0.0119 0.997276 0.0740754
0.012 0.99723 0.074702
0.0121 0.997183 0.0753286
0.0122 0.997135 0.0759551
0.0123 0.997088 0.0765816
0.0124 0.997039 0.0772081
0.0125 0.996991 0.0778346
0.0126 0.996942 0.078461
0.0127 0.996893 0.0790874
0.0128 0.996843 0.0797138
0.0129 0.996793 0.0803401
0.013 0.996742 0.0809664
0.0131 0.996692 0.0815927
0.0132 0.99664 0.0822189
0.0133 0.996589 0.0828451
0.0134 0.996537 0.0834713
0.0135 0.996484 0.0840975
0.0136 0.996431 0.0847236
0.0137 0.996378 0.0853496
0.0138 0.996324 0.0859757
0.0139 0.99627 0.0866017
0.014 0.996216 0.0872277
0.0141 0.996161 0.0878536
0.0142 0.996106 0.0884795
0.0143 0.99605 0.0891054
0.0144 0.995994 0.0897312
0.0145 0.995938 0.090357
0.0146 0.995881 0.0909828
0.0147 0.995824 0.0916085
0.0148 0.995767 0.0922342
0.0149 0.995709 0.0928599
0.015 0.99565 0.0934855
0.0151 0.995592 0.0941111
0.0152 0.995532 0.0947366
0.0153 0.995473 0.0953622
0.0154 0.995413 0.0959876
0.0155 0.995353 0.0966131
0.0156 0.995292 0.0972385
0.0157 0.995231 0.0978638
0.0158 0.995169 0.0984891
0.0159 0.995108 0.0991144
0.016 0.995045 0.0997397
0.0161 0.994983 0.100365
0.0162 0.99492 0.10099
0.0163 0.994856 0.101615
0.0164 0.994792 0.10224
0.0165 0.994728 0.102865
0.0166 0.994663 0.10349
0.0167 0.994598 0.104115
0.0168 0.994533 0.10474
0.0169 0.994467 0.105365
0.017 0.994401 0.10599
0.0171 0.994334 0.106615
0.0172 0.994267 0.107239
0.0173 0.9942 0.107864
0.0174 0.994132 0.108489
0.0175 0.994064 0.109114
0.0176 0.993995 0.109738
0.0177 0.993927 0.110363
0.0178 0.993857 0.110987
0.0179 0.993787 0.111612
0.018 0.993717 0.112236
0.0181 0.993647 0.11286
0.0182 0.993576 0.113485
0.0183 0.993505 0.114109
0.0184 0.993433 0.114733
0.0185 0.993361 0.115357
0.0186 0.993288 0.115982
0.0187 0.993216 0.116606
0.0188 0.993142 0.11723
0.0189 0.993069 0.117854
0.019 0.992995 0.118478
0.0191 0.99292 0.119102
0.0192 0.992845 0.119725
0.0193 0.99277 0.120349
0.0194 0.992694 0.120973
0.0195 0.992618 0.121597
0.0196 0.992542 0.122221
0.0197 0.992465 0.122844
0.0198 0.992388 0.123468
0.0199 0.99231 0.124091
0.02 0.992233 0.124715
0.0201 0.992154 0.125338
0.0202 0.992075 0.125962
0.0203 0.991996 0.126585
0.0204 0.991917 0.127208
0.0205 0.991837 0.127831
0.0206 0.991757 0.128455
0.0207 0.991676 0.129078
0.0208 0.991595 0.129701
0.0209 0.991513 0.130324
0.021 0.991431 0.130947
0.0211 0.991349 0.13157
0.0212 0.991266 0.132193
0.0213 0.991183 0.132816
0.0214 0.9911 0.133438
0.0215 0.991016 0.134061
0.0216 0.990932 0.134684
0.0217 0.990847 0.135306
0.0218 0.990762 0.135929
0.0219 0.990677 0.136551
0.022 0.990591 0.137174
0.0221 0.990505 0.137796
0.0222 0.990418 0.138419
0.0223 0.990331 0.139041
0.0224 0.990244 0.139663
0.0225 0.990156 0.140285
0.0226 0.990068 0.140908
0.0227 0.98998 0.14153
0.0228 0.989891 0.142152
0.0229 0.989801 0.142774
0.023 0.989712 0.143395
0.0231 0.989622 0.144017
0.0232 0.989531 0.144639
0.0233 0.98944 0.145261
0.0234 0.989349 0.145883
0.0235 0.989257 0.146504
0.0236 0.989165 0.147126
0.0237 0.989073 0.147747
0.0238 0.98898 0.148369
0.0239 0.988887 0.14899
0.024 0.988793 0.149611
0.0241 0.988699 0.150233
0.0242 0.988605 0.150854
0.0243 0.98851 0.151475
0.0244 0.988415 0.152096
0.0245 0.988319 0.152717
0.0246 0.988223 0.153338
0.0247 0.988127 0.153959
0.0248 0.98803 0.15458
0.0249 0.987933 0.155201
0.025 0.987836 0.155822
