Time, X-pos, Y-pos
0.02 1 0
0.04 0.992104 0.113097
0.06 0.968422 0.225298
0.08 0.929025 0.334784
0.1 0.874124 0.43969
0.12 0.804098 0.538095
0.14 0.719527 0.628019
0.16 0.621241 0.707436
0.18 0.510366 0.774303
0.2 0.388381 0.826606
0.22 0.25716 0.862438
0.24 0.119009 0.880105
0.26 -0.0233443 0.878259
0.28 -0.166796 0.85605
0.3 -0.307988 0.813276
0.32 -0.443485 0.750491
0.34 -0.570016 0.669044
0.36 -0.68472 0.571018
0.38 -0.785353 0.45907
0.4 -0.870422 0.336196
0.42 -0.939202 0.205478
0.44 -0.991668 0.0698566
0.46 -1.02836 -0.0680337
0.48 -1.05022 -0.205956
0.5 -1.05844 -0.342096
0.52 -1.05432 -0.475046
0.54 -1.0392 -0.603754
0.56 -1.01437 -0.727471
0.58 -0.981045 -0.845689
0.6 -0.940327 -0.958092
0.62 -0.893223 -1.06451
0.64 -0.840626 -1.16487
0.66 -0.78333 -1.2592
0.68 -0.722037 -1.34757
0.7 -0.657364 -1.4301
0.72 -0.589855 -1.50692
0.74 -0.519988 -1.57819
0.76 -0.448183 -1.64408
0.78 -0.374812 -1.70477
0.8 -0.300203 -1.76043
0.82 -0.224647 -1.81123
0.84 -0.1484 -1.85733
0.86 -0.0716923 -1.89892
0.88 0.00527222 -1.93614
0.9 0.0823104 -1.96915
0.92 0.159258 -1.99809
0.94 0.235968 -2.02312
0.96 0.312306 -2.04435
0.98 0.388151 -2.06193
1 0.463393 -2.07597
1.02 0.537933 -2.0866
1.04 0.611678 -2.09391
1.06 0.684543 -2.09803
1.08 0.75645 -2.09905
1.1 0.827328 -2.09707
1.12 0.897109 -2.09218
1.14 0.965731 -2.08448
1.16 1.03313 -2.07404
1.18 1.09926 -2.06096
1.2 1.16407 -2.0453
1.22 1.22749 -2.02714
1.24 1.2895 -2.00656
1.26 1.35003 -1.98362
1.28 1.40905 -1.9584
1.3 1.46652 -1.93095
1.32 1.52238 -1.90135
1.34 1.57662 -1.86964
1.36 1.62917 -1.8359
1.38 1.68001 -1.80018
1.4 1.7291 -1.76252
1.42 1.7764 -1.723
1.44 1.82187 -1.68166
1.46 1.86547 -1.63855
1.48 1.90717 -1.59373
1.5 1.94693 -1.54725
1.52 1.98471 -1.49915
1.54 2.02047 -1.44949
1.56 2.05418 -1.39832
1.58 2.08579 -1.34568
1.6 2.11526 -1.29162
1.62 2.14256 -1.2362
1.64 2.16764 -1.17946
1.66 2.19045 -1.12146
1.68 2.21096 -1.06223
1.7 2.22912 -1.00184
1.72 2.24488 -0.940338
1.74 2.2582 -0.877773
1.76 2.26902 -0.8142
1.78 2.2773 -0.749676
1.8 2.28298 -0.684258
1.82 2.286 -0.618007
1.84 2.28632 -0.550984
1.86 2.28388 -0.483254
1.88 2.2786 -0.414885
1.9 2.27044 -0.345947
1.92 2.25933 -0.276516
1.94 2.2452 -0.20667
1.96 2.22798 -0.136493
1.98 2.2076 -0.0660737
2 2.18398 0.0044929
2.02 2.15706 0.0751056
2.04 2.12674 0.145656
2.06 2.09296 0.216027
2.08 2.05563 0.286093
2.1 2.01465 0.355718
2.12 1.96995 0.424755
2.14 1.92143 0.493045
2.16 1.86901 0.560412
2.18 1.8126 0.626669
2.2 1.75209 0.691608
2.22 1.68742 0.755002
2.24 1.61849 0.816605
2.26 1.54522 0.876144
2.28 1.46753 0.933321
2.3 1.38538 0.987811
2.32 1.2987 1.03925
2.34 1.20747 1.08726
2.36 1.11169 1.13139
2.38 1.01137 1.17118
2.4 0.906585 1.20613
2.42 0.79745 1.23568
2.44 0.684143 1.25924
2.46 0.566915 1.2762
2.48 0.446111 1.28589
2.5 0.322179 1.28767
2.52 0.195691 1.28086
2.54 0.067351 1.26485
2.56 -0.0619938 1.23905
2.58 -0.191355 1.20301
2.6 -0.319615 1.1564
2.62 -0.445551 1.09908
2.64 -0.567883 1.03115
2.66 -0.685326 0.952949
2.68 -0.796658 0.865076
2.7 -0.90079 0.768368
2.72 -0.99682 0.663862
2.74 -1.08408 0.552732
2.76 -1.16215 0.436224
2.78 -1.23086 0.315588
2.8 -1.29026 0.192019
2.82 -1.34057 0.0666148
2.84 -1.38217 -0.0596522
2.86 -1.41553 -0.185946
2.88 -1.44117 -0.311568
2.9 -1.45967 -0.43595
2.92 -1.47158 -0.558639
2.94 -1.47746 -0.679286
2.96 -1.47783 -0.797625
2.98 -1.4732 -0.913465
3 -1.46402 -1.02667
3.02 -1.45072 -1.13716
3.04 -1.43368 -1.24488
3.06 -1.41327 -1.34981
3.08 -1.38981 -1.45196
3.1 -1.36358 -1.55135
3.12 -1.33485 -1.64801
3.14 -1.30385 -1.74199
3.16 -1.2708 -1.83334
3.18 -1.23591 -1.92211
3.2 -1.19933 -2.00837
3.22 -1.16123 -2.09217
3.24 -1.12175 -2.17359
3.26 -1.08103 -2.25268
3.28 -1.03918 -2.3295
3.3 -0.996316 -2.40413
3.32 -0.952527 -2.47661
3.34 -0.907907 -2.54701
3.36 -0.862536 -2.61538
3.38 -0.816489 -2.68179
3.4 -0.769836 -2.74627
3.42 -0.722637 -2.8089
3.44 -0.674951 -2.86971
3.46 -0.626831 -2.92876
3.48 -0.578326 -2.98609
3.5 -0.529479 -3.04175
3.52 -0.480333 -3.09578
3.54 -0.430925 -3.14822
3.56 -0.381292 -3.19912
3.58 -0.331465 -3.2485
3.6 -0.281476 -3.29642
3.62 -0.231352 -3.34289
3.64 -0.181119 -3.38797
3.66 -0.130803 -3.43168
3.68 -0.0804251 -3.47404
3.7 -0.0300075 -3.51511
3.72 0.0204305 -3.55489
3.74 0.0708701 -3.59342
3.76 0.121294 -3.63073
3.78 0.171687 -3.66685
3.8 0.222032 -3.70179
3.82 0.272316 -3.73559
3.84 0.322525 -3.76827
3.86 0.372648 -3.79984
3.88 0.422671 -3.83034
3.9 0.472584 -3.85978
3.92 0.522376 -3.88818
3.94 0.572038 -3.91556
3.96 0.62156 -3.94194
3.98 0.670932 -3.96735
4 0.720148 -3.99179
4.02 0.769198 -4.01529
4.04 0.818076 -4.03785
