Time, X-pos, Y-pos
0.0001 1 0
0.0002 1 0.000628319
0.0003 0.999999 0.00125664
0.0004 0.999998 0.00188495
0.0005 0.999997 0.00251327
0.0006 0.999995 0.00314159
0.0007 0.999993 0.0037699
0.0008 0.99999 0.00439822
0.0009 0.999987 0.00502653
0.001 0.999984 0.00565484
0.0011 0.99998 0.00628315
0.0012 0.999976 0.00691146
0.0013 0.999972 0.00753976
0.0014 0.999967 0.00816806
0.0015 0.999961 0.00879636
0.0016 0.999956 0.00942465
0.0017 0.999949 0.0100529
0.0018 0.999943 0.0106812
0.0019 0.999936 0.0113095
0.002 0.999929 0.0119378
0.0021 0.999921 0.0125661
0.0022 0.999913 0.0131943
0.0023 0.999904 0.0138226
0.0024 0.999896 0.0144509
0.0025 0.999886 0.0150791
0.0026 0.999877 0.0157074
0.0027 0.999867 0.0163356
0.0028 0.999856 0.0169638
0.0029 0.999845 0.0175921
0.003 0.999834 0.0182203
0.0031 0.999822 0.0188485
0.0032 0.99981 0.0194767
0.0033 0.999798 0.0201049
0.0034 0.999785 0.0207331
0.0035 0.999772 0.0213613
0.0036 0.999758 0.0219895
0.0037 0.999744 0.0226176
0.0038 0.99973 0.0232458
0.0039 0.999715 0.0238739
0.004 0.9997 0.0245021
0.0041 0.999684 0.0251302
0.0042 0.999668 0.0257583
0.0043 0.999652 0.0263864
0.0044 0.999635 0.0270145
0.0045 0.999618 0.0276426
0.0046 0.9996 0.0282707
0.0047 0.999582 0.0288988
0.0048 0.999564 0.0295268
0.0049 0.999545 0.0301549
0.005 0.999526 0.0307829
0.0051 0.999507 0.0314109
0.0052 0.999487 0.0320389
0.0053 0.999466 0.0326669
0.0054 0.999446 0.0332949
0.0055 0.999424 0.0339229
0.0056 0.999403 0.0345508
0.0057 0.999381 0.0351788
0.0058 0.999359 0.0358067
0.0059 0.999336 0.0364346
0.006 0.999313 0.0370625
0.0061 0.999289 0.0376904
0.0062 0.999266 0.0383183
0.0063 0.999241 0.0389461
0.0064 0.999217 0.039574
0.0065 0.999192 0.0402018
0.0066 0.999166 0.0408296
0.0067 0.99914 0.0414574
0.0068 0.999114 0.0420852
0.0069 0.999087 0.0427129
0.007 0.99906 0.0433407
0.0071 0.999033 0.0439684
0.0072 0.999005 0.0445961
0.0073 0.998977 0.0452238
0.0074 0.998948 0.0458515
0.0075 0.998919 0.0464792
0.0076 0.99889 0.0471068
0.0077 0.99886 0.0477344
0.0078 0.99883 0.048362
0.0079 0.998799 0.0489896
0.008 0.998768 0.0496172
0.0081 0.998737 0.0502447
0.0082 0.998705 0.0508722
0.0083 0.998673 0.0514997
0.0084 0.99864 0.0521272
0.0085 0.998608 0.0527547
0.0086 0.998574 0.0533821
0.0087 0.99854 0.0540096
0.0088 0.998506 0.054637
0.0089 0.998472 0.0552643
0.009 0.998437 0.0558917
0.0091 0.998402 0.056519
0.0092 0.998366 0.0571463
0.0093 0.99833 0.0577736
0.0094 0.998293 0.0584009
0.0095 0.998256 0.0590282
0.0096 0.998219 0.0596554
0.0097 0.998181 0.0602826
0.0098 0.998143 0.0609098
0.0099 0.998105 0.0615369
0.01 0.998066 0.062164
0.0101 0.998027 0.0627911
0.0102 0.997987 0.0634182
0.0103 0.997947 0.0640453
0.0104 0.997907 0.0646723
0.0105 0.997866 0.0652993
0.0106 0.997825 0.0659263
0.0107 0.997783 0.0665532
0.0108 0.997741 0.0671802
0.0109 0.997698 0.0678071
0.011 0.997656 0.0684339
0.0111 0.997612 0.0690608
0.0112 0.997569 0.0696876
0.0113 0.997525 0.0703144
0.0114 0.997481 0.0709411
0.0115 0.997436 0.0715679
0.0116 0.997391 0.0721946
0.0117 0.997345 0.0728213
0.0118 0.997299 0.0734479
0.0119 0.997253 0.0740745
0.012 0.997206 0.0747011
0.0121 0.997159 0.0753277
0.0122 0.997111 0.0759542
0.0123 0.997063 0.0765807
0.0124 0.997015 0.0772072
0.0125 0.996966 0.0778336
0.0126 0.996917 0.0784601
0.0127 0.996868 0.0790864
0.0128 0.996818 0.0797128
0.0129 0.996768 0.0803391
0.013 0.996717 0.0809654
0.0131 0.996666 0.0815917
0.0132 0.996614 0.0822179
0.0133 0.996563 0.0828441
0.0134 0.99651 0.0834702
0.0135 0.996458 0.0840964
0.0136 0.996405 0.0847224
0.0137 0.996351 0.0853485
0.0138 0.996297 0.0859745
0.0139 0.996243 0.0866005
0.014 0.996189 0.0872265
0.0141 0.996134 0.0878524
0.0142 0.996078 0.0884783
0.0143 0.996022 0.0891042
0.0144 0.995966 0.08973
0.0145 0.99591 0.0903558
0.0146 0.995853 0.0909815
0.0147 0.995795 0.0916072
0.0148 0.995738 0.0922329
0.0149 0.995679 0.0928585
0.015 0.995621 0.0934841
0.0151 0.995562 0.0941097
0.0152 0.995503 0.0947352
0.0153 0.995443 0.0953607
0.0154 0.995383 0.0959862
0.0155 0.995322 0.0966116
0.0156 0.995261 0.097237
0.0157 0.9952 0.0978623
0.0158 0.995138 0.0984876
0.0159 0.995076 0.0991129
0.016 0.995014 0.0997381
0.0161 0.994951 0.100363
0.0162 0.994888 0.100988
0.0163 0.994824 0.101614
0.0164 0.99476 0.102239
0.0165 0.994696 0.102864
0.0166 0.994631 0.103489
0.0167 0.994566 0.104114
0.0168 0.9945 0.104738
0.0169 0.994434 0.105363
0.017 0.994368 0.105988
0.0171 0.994301 0.106613
0.0172 0.994234 0.107238
0.0173 0.994166 0.107862
0.0174 0.994098 0.108487
0.0175 0.99403 0.109112
0.0176 0.993961 0.109736
0.0177 0.993892 0.110361
0.0178 0.993822 0.110985
0.0179 0.993752 0.11161
0.018 0.993682 0.112234
0.0181 0.993611 0.112858
0.0182 0.99354 0.113483
0.0183 0.993469 0.114107
0.0184 0.993397 0.114731
0.0185 0.993324 0.115355
0.0186 0.993252 0.115979
0.0187 0.993179 0.116604
0.0188 0.993105 0.117228
0.0189 0.993031 0.117852
0.019 0.992957 0.118475
0.0191 0.992883 0.119099
0.0192 0.992807 0.119723
0.0193 0.992732 0.120347
0.0194 0.992656 0.120971
0.0195 0.99258 0.121594
0.0196 0.992503 0.122218
0.0197 0.992426 0.122842
0.0198 0.992349 0.123465
0.0199 0.992271 0.124089
0.02 0.992193 0.124712
0.0201 0.992115 0.125336
0.0202 0.992036 0.125959
0.0203 0.991956 0.126582
0.0204 0.991877 0.127206
0.0205 0.991796 0.127829
0.0206 0.991716 0.128452
0.0207 0.991635 0.129075
0.0208 0.991554 0.129698
0.0209 0.991472 0.130321
0.021 0.99139 0.130944
0.0211 0.991308 0.131567
0.0212 0.991225 0.13219
0.0213 0.991141 0.132813
0.0214 0.991058 0.133435
0.0215 0.990974 0.134058
0.0216 0.990889 0.134681
0.0217 0.990804 0.135303
0.0218 0.990719 0.135926
0.0219 0.990634 0.136548
0.022 0.990548 0.137171
0.0221 0.990461 0.137793
0.0222 0.990375 0.138416
0.0223 0.990287 0.139038
0.0224 0.9902 0.13966
0.0225 0.990112 0.140282
0.0226 0.990024 0.140904
0.0227 0.989935 0.141526
0.0228 0.989846 0.142148
0.0229 0.989756 0.14277
0.023 0.989666 0.143392
0.0231 0.989576 0.144014
0.0232 0.989485 0.144636
0.0233 0.989394 0.145258
0.0234 0.989303 0.145879
0.0235 0.989211 0.146501
0.0236 0.989119 0.147122
0.0237 0.989026 0.147744
0.0238 0.988933 0.148365
0.0239 0.98884 0.148987
0.024 0.988746 0.149608
0.0241 0.988652 0.150229
0.0242 0.988557 0.15085
0.0243 0.988462 0.151471
0.0244 0.988367 0.152093
0.0245 0.988271 0.152714
0.0246 0.988175 0.153334
0.0247 0.988078 0.153955
0.0248 0.987981 0.154576
0.0249 0.987884 0.155197
