MC_samples M E
1 0.04 -0.54
2 0.05 -0.66
3 0.0916667 -0.713333
4 0.10125 -0.775
5 0.11 -0.828
6 0.115833 -0.871667
7 0.122857 -0.882857
8 0.135 -0.90375
9 0.144444 -0.932222
10 0.14 -0.942
11 0.132727 -0.954545
12 0.122083 -0.959167
13 0.115769 -0.963846
14 0.114643 -0.964286
15 0.107333 -0.968
16 0.101562 -0.976875
17 0.0982353 -0.978824
18 0.0961111 -0.977778
19 0.0978947 -0.976842
20 0.099 -0.981
21 0.105 -0.989524
22 0.108409 -0.994091
23 0.110435 -0.995652
24 0.113125 -0.999167
25 0.1178 -1.0012
26 0.120962 -1.005
27 0.124815 -1.00778
28 0.127857 -1.01143
29 0.13069 -1.01586
30 0.135833 -1.02033
31 0.140484 -1.02419
32 0.145156 -1.02594
33 0.149545 -1.02939
34 0.150294 -1.03029
35 0.149857 -1.03114
36 0.146944 -1.03083
37 0.14527 -1.03108
38 0.144868 -1.03237
39 0.144359 -1.0341
40 0.142875 -1.03625
41 0.140244 -1.03561
42 0.138214 -1.03714
43 0.137791 -1.03907
44 0.138864 -1.04091
45 0.139889 -1.04244
46 0.142609 -1.04413
47 0.145638 -1.0466
48 0.149479 -1.05021
49 0.152857 -1.05408
50 0.1577 -1.06
51 0.162059 -1.0649
52 0.165481 -1.06788
53 0.16783 -1.06925
54 0.169167 -1.06981
55 0.171364 -1.072
56 0.173125 -1.07446
57 0.175088 -1.07737
58 0.176121 -1.0769
59 0.176441 -1.07559
60 0.175833 -1.074
61 0.173279 -1.07508
62 0.171613 -1.07516
63 0.169048 -1.07571
64 0.166719 -1.07672
65 0.164462 -1.07738
66 0.162652 -1.07833
67 0.161343 -1.07836
68 0.160956 -1.07809
69 0.158768 -1.07783
70 0.157071 -1.07743
71 0.156268 -1.07718
72 0.154583 -1.07833
73 0.152877 -1.08
74 0.1525 -1.08176
75 0.152 -1.0836
76 0.151118 -1.08368
77 0.151234 -1.08416
78 0.152308 -1.08628
79 0.152722 -1.08785
80 0.152875 -1.0885
81 0.151975 -1.08778
82 0.15122 -1.08927
83 0.151265 -1.09181
84 0.151607 -1.09405
85 0.152647 -1.09482
86 0.153837 -1.09477
87 0.154713 -1.09483
88 0.155 -1.09398
89 0.154663 -1.09258
90 0.154444 -1.09167
91 0.153297 -1.09198
92 0.15288 -1.09207
93 0.15129 -1.09215
94 0.150479 -1.09298
95 0.150053 -1.09358
96 0.150052 -1.09323
97 0.150928 -1.09227
98 0.152245 -1.09245
99 0.154091 -1.09232
100 0.15595 -1.0924
101 0.157228 -1.09228
102 0.159167 -1.09137
103 0.160097 -1.08981
104 0.160721 -1.08856
105 0.161286 -1.0881
106 0.162028 -1.08613
107 0.163551 -1.08523
108 0.164815 -1.08556
109 0.165505 -1.08624
110 0.166091 -1.08636
111 0.167793 -1.08622
112 0.169375 -1.08607
113 0.169823 -1.08593
114 0.169868 -1.08491
115 0.169652 -1.08443
116 0.16931 -1.08517
117 0.169744 -1.08487
118 0.170212 -1.08441
119 0.170294 -1.08395
120 0.169792 -1.08367
121 0.169339 -1.08331
122 0.170123 -1.08254
123 0.171301 -1.08244
124 0.172863 -1.08306
125 0.17468 -1.08424
126 0.175952 -1.08516
127 0.178031 -1.08669
128 0.180469 -1.08891
129 0.181977 -1.08969
130 0.183231 -1.09062
131 0.185496 -1.0913
132 0.187917 -1.0922
133 0.190902 -1.09368
134 0.193731 -1.09485
135 0.196519 -1.09607
136 0.198713 -1.09669
137 0.200365 -1.09701
138 0.201667 -1.09667
139 0.203237 -1.09647
140 0.2045 -1.09686
141 0.206135 -1.09695
142 0.207324 -1.0969
143 0.207622 -1.09678
144 0.207639 -1.09556
145 0.207931 -1.0951
146 0.208699 -1.09486
147 0.209048 -1.09395
148 0.209155 -1.09365
149 0.209732 -1.09356
150 0.210467 -1.09373
151 0.211093 -1.09364
152 0.210921 -1.09388
153 0.211144 -1.09444
154 0.211364 -1.09526
155 0.211581 -1.09587
156 0.211474 -1.09654
157 0.211592 -1.09732
158 0.212057 -1.09797
159 0.213176 -1.09887
160 0.214094 -1.09988
161 0.215031 -1.10068
162 0.215772 -1.10185
163 0.216718 -1.10252
164 0.21689 -1.10317
