MC_samples M E
1 1 -2
2 1 -2
3 1 -2
4 1 -2
5 1 -2
6 1 -2
7 1 -2
8 1 -2
9 1 -2
10 1 -2
11 0.999545 -1.99818
12 0.999583 -1.99833
13 0.999615 -1.99846
14 0.999643 -1.99857
15 0.999667 -1.99867
16 0.999687 -1.99875
17 0.999706 -1.99882
18 0.999722 -1.99889
19 0.999737 -1.99895
20 0.99975 -1.999
21 0.999762 -1.99905
22 0.999773 -1.99909
23 0.999783 -1.99913
24 0.999792 -1.99917
25 0.9998 -1.9992
26 0.999808 -1.99923
27 0.99963 -1.99852
28 0.999464 -1.99786
29 0.999483 -1.99793
30 0.9995 -1.998
31 0.999516 -1.99806
32 0.999531 -1.99812
33 0.999545 -1.99818
34 0.999559 -1.99824
35 0.999429 -1.99771
36 0.999306 -1.99722
37 0.999189 -1.99676
38 0.999079 -1.99632
39 0.998974 -1.9959
40 0.998875 -1.9955
41 0.998902 -1.99561
42 0.998929 -1.99571
43 0.998837 -1.99535
44 0.998864 -1.99545
45 0.998889 -1.99556
46 0.998913 -1.99565
47 0.99883 -1.99532
48 0.99875 -1.995
49 0.998571 -1.99429
50 0.9984 -1.9936
51 0.998431 -1.99373
52 0.998462 -1.99385
53 0.998491 -1.99396
54 0.998519 -1.99407
55 0.998545 -1.99418
56 0.998571 -1.99429
57 0.998596 -1.99439
58 0.998621 -1.99448
59 0.998644 -1.99458
60 0.998667 -1.99467
61 0.998689 -1.99475
62 0.99871 -1.99484
63 0.99873 -1.99492
64 0.99875 -1.995
65 0.998769 -1.99508
66 0.998788 -1.99515
67 0.998806 -1.99522
68 0.998824 -1.99529
69 0.998841 -1.99536
70 0.998857 -1.99543
71 0.998873 -1.99549
72 0.998889 -1.99556
73 0.998904 -1.99562
74 0.998919 -1.99568
75 0.998867 -1.99547
76 0.998816 -1.99526
77 0.998831 -1.99532
78 0.998846 -1.99538
79 0.998861 -1.99544
80 0.998875 -1.9955
81 0.998889 -1.99556
82 0.998902 -1.99561
83 0.998916 -1.99566
84 0.998929 -1.99571
85 0.998941 -1.99576
86 0.998953 -1.99581
87 0.998966 -1.99586
88 0.99892 -1.99568
89 0.998933 -1.99573
90 0.998889 -1.99556
91 0.998901 -1.9956
92 0.998913 -1.99565
93 0.998925 -1.9957
94 0.998936 -1.99574
95 0.998947 -1.99579
96 0.998906 -1.99562
97 0.998866 -1.99546
98 0.998878 -1.99551
99 0.998889 -1.99556
100 0.9989 -1.9956
101 0.998911 -1.99564
102 0.998922 -1.99569
103 0.998932 -1.99573
104 0.998942 -1.99577
105 0.998952 -1.99581
106 0.998962 -1.99585
107 0.998972 -1.99589
