T M E Susceptibility Cv
2.00000 0.851677 -1.73257 -286.627 2.39500
2.00500 0.851773 -1.72924 -93.5900 2.43137
2.01000 0.849051 -1.72556 -66.8073 2.36901
2.01500 0.857764 -1.72330 -105.189 2.38042
2.02000 0.885639 -1.72469 -89.0773 1.74614
2.02500 0.812308 -1.70843 -7.25650 2.80973
2.03000 0.809584 -1.70527 -42.5895 2.78087
2.03500 0.809213 -1.70101 -77.3380 2.77627
2.04000 0.840063 -1.70221 -59.6963 2.40023
2.04500 0.847000 -1.69942 -698.383 2.32551
2.05000 0.853915 -1.69757 -296.092 2.15754
2.05500 0.816867 -1.68786 -256.400 2.56300
2.06000 0.863331 -1.69111 -330.487 1.92721
2.06500 0.766549 -1.67100 -2.07288 3.20301
2.07000 0.824846 -1.67660 -284.266 2.42590
2.07500 0.810913 -1.67032 0.324049 2.61431
2.08000 0.812502 -1.66684 -59.7865 2.61268
2.08500 0.845770 -1.66740 -79.9094 2.02486
2.09000 0.774737 -1.65128 -1018.39 2.96869
2.09500 0.816661 -1.65418 -81.4958 2.48147
2.10000 0.801766 -1.64734 -49.4044 2.54854
2.10500 0.827591 -1.64792 -285.662 2.14259
2.11000 0.834398 -1.64455 -78.4619 2.08021
2.11500 0.822189 -1.63760 -80.8092 2.14919
2.12000 0.801142 -1.62946 -53.6081 2.39534
2.12500 0.819708 -1.62765 0.385711 2.14899
2.13000 0.762508 -1.61382 -499.529 2.70255
2.13500 0.817791 -1.61745 -1126.63 2.07325
2.14000 0.813020 -1.61314 -69.6560 2.12995
2.14500 0.815460 -1.60887 -79.5523 1.95733
2.15000 0.793608 -1.59918 -67.8188 2.23708
2.15500 0.799699 -1.59581 -73.6682 2.08897
2.16000 0.807503 -1.59268 0.343265 1.94213
2.16500 0.784007 -1.58262 -72.9711 2.12979
2.17000 0.779457 -1.57802 0.285348 2.27884
2.17500 0.779029 -1.57179 -75.4240 2.18190
2.18000 0.771262 -1.56312 0.320662 2.18759
2.18500 0.763267 -1.55721 -63.2090 2.24051
2.19000 0.768379 -1.55187 -256.460 2.09950
2.19500 0.760797 -1.54660 0.343569 2.26656
2.20000 0.755990 -1.53903 0.0403760 2.08621
2.20500 0.745527 -1.53196 -63.0781 2.22274
2.21000 0.743794 -1.52342 0.288964 2.13582
2.21500 0.733340 -1.51824 -45.5112 2.21169
2.22000 0.714012 -1.50802 -55.8921 2.34098
2.22500 0.699487 -1.49953 0.314343 2.44743
2.23000 0.696792 -1.49289 -187.873 2.41272
2.23500 0.701306 -1.48677 -54.2196 2.33626
2.24000 0.686987 -1.47733 0.126867 2.27683
2.24500 0.661400 -1.46614 -44.1644 2.41501
2.25000 0.657486 -1.45944 -30.9618 2.37726
2.25500 0.618497 -1.44575 -55.5465 2.59354
2.26000 0.600489 -1.43553 -151.209 2.50520
2.26500 0.615063 -1.43174 -9.38692 2.28781
2.27000 0.547458 -1.41109 -84.3307 2.63215
2.27500 0.582191 -1.41028 -3.16729 2.33596
2.28000 0.519074 -1.39368 -11.0803 2.53684
2.28500 0.486091 -1.38023 -104.704 2.29117
2.29000 0.471101 -1.37365 -2.72974 2.43845
2.29500 0.472602 -1.36653 -125.949 2.31710
2.30000 0.472426 -1.35801 -0.777848 2.22395
