T M E Susceptibility Cv
T M E Susceptibility Cv
2.00000 0.910653 -1.74544 -2.14543 0.742102
2.00100 0.910007 -1.74412 -22.7624 0.746058
2.00200 0.909747 -1.74327 -2.34414 0.745656
2.00300 0.908947 -1.74206 -9.83113 0.756446
2.00400 0.909236 -1.74231 -0.810981 0.750149
2.00500 0.908957 -1.74149 -2.11019 0.750913
2.00600 0.908655 -1.74076 -9.87123 0.757824
2.00700 0.908615 -1.74031 -9.81786 0.752226
2.00800 0.907803 -1.73932 -0.848513 0.756870
2.00900 0.907273 -1.73849 -9.77573 0.764808
2.01000 0.906800 -1.73732 -2.09369 0.767168
2.01100 0.906605 -1.73670 -9.78581 0.767222
2.01200 0.906121 -1.73589 -9.77158 0.769826
2.01300 0.906233 -1.73550 0.450137 0.767678
2.01400 0.905564 -1.73453 -59.1683 0.771898
2.01500 0.904818 -1.73356 0.117198 0.778712
2.01600 0.904856 -1.73332 -9.71893 0.778806
2.01700 0.904829 -1.73247 -9.69038 0.771336
2.01800 0.904644 -1.73191 -2.07392 0.774860
2.01900 0.903952 -1.73092 -22.3420 0.780033
2.02000 0.903657 -1.73019 -2.07194 0.781983
2.02100 0.903651 -1.72960 -2.07189 0.777933
2.02200 0.903024 -1.72889 -11.1537 0.784561
2.02300 0.902275 -1.72763 -2.05362 0.794716
2.02400 0.901521 -1.72668 0.409253 0.795808
2.02500 0.901348 -1.72613 -21.6910 0.797620
2.02600 0.901131 -1.72534 -9.63052 0.796601
2.02700 0.901415 -1.72518 -13.3270 0.796041
2.02800 0.900654 -1.72383 -2.03666 0.799114
2.02900 0.900115 -1.72276 -6.21140 0.799754
2.03000 0.899438 -1.72203 -2.06945 0.806011
2.03100 0.899646 -1.72164 -2.05823 0.803044
2.03200 0.898728 -1.72074 -8.35436 0.818842
2.03300 0.899474 -1.72060 -9.49754 0.798700
2.03400 0.898107 -1.71941 -2.02852 0.814509
2.03500 0.898263 -1.71866 -9.48606 0.810795
2.03600 0.897822 -1.71779 0.440962 0.811794
2.03700 0.897040 -1.71695 -56.9335 0.819036
2.03800 0.896381 -1.71561 -1.29689 0.822257
2.03900 0.895777 -1.71463 -61.1505 0.828707
2.04000 0.896633 -1.71503 -9.41005 0.817131
2.04100 0.895635 -1.71346 0.438811 0.824231
2.04200 0.894745 -1.71249 0.416572 0.838203
2.04300 0.894561 -1.71214 -5.88692 0.837481
2.04400 0.894358 -1.71123 -2.03830 0.836929
2.04500 0.893807 -1.71020 -9.32370 0.839740
2.04600 0.893308 -1.70926 0.0433440 0.838073
2.04700 0.892849 -1.70859 -2.82949 0.846249
