T M E Susceptibility Cv
T M E Susceptibility Cv
2.00000 0.859665 -1.72978 26.3898 2.00610
2.00500 0.862091 -1.72697 24.7344 2.00994
2.01000 0.869046 -1.72483 18.7925 1.79860
2.01500 0.872971 -1.72336 16.8783 1.68522
2.02000 0.875954 -1.72073 14.1598 1.61912
2.02500 0.882654 -1.71910 9.69192 1.60794
2.03000 0.866659 -1.71070 16.3715 1.76957
2.03500 0.866088 -1.70814 16.4099 1.72142
2.04000 0.859631 -1.70235 17.3272 1.85266
2.04500 0.860606 -1.69924 16.6305 1.76547
2.05000 0.848198 -1.69210 21.9759 1.97312
2.05500 0.853553 -1.68951 17.8412 1.83295
2.06000 0.844885 -1.68428 21.3180 1.97476
2.06500 0.827937 -1.67690 29.2349 2.08766
2.07000 0.852338 -1.67895 15.8103 1.76970
2.07500 0.853598 -1.67476 12.2492 1.73268
2.08000 0.848660 -1.66976 13.9065 1.77338
2.08500 0.828825 -1.66043 22.6969 2.02338
2.09000 0.850527 -1.66287 10.3900 1.68870
2.09500 0.828215 -1.65365 21.3223 1.96786
2.10000 0.847630 -1.65387 10.4461 1.67022
2.10500 0.834948 -1.64590 14.1035 1.83376
2.11000 0.824568 -1.63995 18.6143 1.93263
2.11500 0.827776 -1.63654 15.3191 1.87523
2.12000 0.821873 -1.63007 15.7283 1.88214
2.12500 0.820099 -1.62667 16.7855 1.87682
2.13000 0.805982 -1.61801 21.6095 2.06275
2.13500 0.812497 -1.61375 15.1478 1.89400
2.14000 0.808273 -1.60874 15.4649 1.91112
2.14500 0.806822 -1.60525 16.7606 1.90675
2.15000 0.798695 -1.59680 15.7951 1.90315
2.15500 0.802975 -1.59458 14.2465 1.86781
2.16000 0.786060 -1.58538 19.2600 2.03099
2.16500 0.793495 -1.57982 12.3383 1.90079
2.17000 0.790665 -1.57640 13.2912 1.87469
2.17500 0.781478 -1.56928 15.6005 1.96495
2.18000 0.776584 -1.56109 13.9801 1.96892
2.18500 0.766465 -1.55490 17.8049 2.05116
2.19000 0.757317 -1.54624 17.8866 2.03151
2.19500 0.758589 -1.54236 15.9907 1.93634
2.20000 0.758685 -1.53814 14.0075 1.96424
2.20500 0.748200 -1.53118 18.0743 1.96459
2.21000 0.734522 -1.52103 19.3999 2.06182
2.21500 0.730558 -1.51372 17.1571 2.05587
2.22000 0.709786 -1.50219 22.3611 2.21272
2.22500 0.701829 -1.49565 23.2110 2.22502
2.23000 0.709712 -1.49202 17.3483 2.11400
2.23500 0.708683 -1.48850 18.4389 2.08016
2.24000 0.701884 -1.47913 16.4038 2.06290
2.24500 0.666412 -1.46357 23.3372 2.19964
2.25000 0.647251 -1.45161 25.8912 2.26317
2.25500 0.643552 -1.44659 25.1775 2.28080
2.26000 0.634582 -1.43821 24.6427 2.23616
2.26500 0.647936 -1.43719 20.4208 2.16601
2.27000 0.599009 -1.41768 28.8031 2.25939
2.27500 0.591557 -1.41142 28.7562 2.30131
2.28000 0.612296 -1.41114 22.9219 2.16651
2.28500 0.575641 -1.39555 26.9501 2.14388
2.29000 0.562749 -1.38616 27.3808 2.15519
2.29500 0.534267 -1.37319 30.1490 2.14610
2.30000 0.496145 -1.35817 32.9351 2.14513
2.30500 0.496177 -1.35277 31.0371 2.09896
2.31000 0.479762 -1.34252 31.1595 2.05659
2.31500 0.458225 -1.33421 30.3936 1.95680
2.32000 0.414870 -1.32053 34.7346 1.97607
2.32500 0.400666 -1.31043 32.2120 1.86763
2.33000 0.424001 -1.31079 29.6958 1.85758
2.33500 0.389913 -1.29738 30.4295 1.78675
2.34000 0.365588 -1.28644 28.1307 1.71586
2.34500 0.367853 -1.28111 28.7993 1.74215
2.35000 0.359660 -1.27516 26.9069 1.61333
2.35500 0.356059 -1.27009 27.0377 1.59911
2.36000 0.334590 -1.26036 26.5647 1.59340
2.36500 0.313989 -1.25104 25.6754 1.49675
2.37000 0.318745 -1.24832 25.3660 1.52213
2.37500 0.314009 -1.24311 23.5570 1.45949
2.38000 0.281769 -1.23111 22.4447 1.40422
2.38500 0.266922 -1.22296 20.4321 1.31238
2.39000 0.252416 -1.21465 20.0454 1.25351
2.39500 0.264434 -1.21367 19.3712 1.28999
2.40000 0.261121 -1.20741 18.5232 1.25800
