Time, X-pos, Y-pos
2 0.362543 0.923215
4 29.6669 75.642
6 58.9799 150.383
8 88.2952 225.13
10 117.611 299.879
12 146.928 374.63
14 176.245 449.381
16 205.563 524.134
18 234.88 598.886
20 264.198 673.639
22 293.516 748.393
24 322.834 823.146
26 352.152 897.9
28 381.47 972.654
30 410.788 1047.41
32 440.106 1122.16
34 469.424 1196.92
36 498.743 1271.67
38 528.061 1346.42
40 557.379 1421.18
42 586.698 1495.93
44 616.016 1570.69
46 645.334 1645.44
48 674.653 1720.2
50 703.971 1794.95
52 733.289 1869.71
54 762.608 1944.46
56 791.926 2019.22
58 821.245 2093.97
60 850.563 2168.73
62 879.882 2243.48
64 909.2 2318.24
66 938.519 2392.99
68 967.837 2467.75
70 997.156 2542.5
72 1026.47 2617.26
74 1055.79 2692.01
76 1085.11 2766.77
78 1114.43 2841.52
80 1143.75 2916.28
82 1173.07 2991.03
84 1202.39 3065.79
86 1231.7 3140.54
88 1261.02 3215.3
90 1290.34 3290.05
92 1319.66 3364.81
94 1348.98 3439.56
96 1378.3 3514.32
98 1407.62 3589.07
100 1436.93 3663.83
102 1466.25 3738.58
104 1495.57 3813.34
106 1524.89 3888.09
108 1554.21 3962.85
110 1583.53 4037.6
112 1612.85 4112.36
114 1642.16 4187.12
116 1671.48 4261.87
118 1700.8 4336.63
120 1730.12 4411.38
122 1759.44 4486.14
124 1788.76 4560.89
126 1818.08 4635.65
128 1847.39 4710.4
130 1876.71 4785.16
132 1906.03 4859.91
134 1935.35 4934.67
136 1964.67 5009.42
138 1993.99 5084.18
140 2023.31 5158.93
142 2052.63 5233.69
144 2081.94 5308.45
146 2111.26 5383.2
148 2140.58 5457.96
150 2169.9 5532.71
152 2199.22 5607.47
154 2228.54 5682.22
156 2257.86 5756.98
158 2287.17 5831.73
160 2316.49 5906.49
162 2345.81 5981.24
164 2375.13 6056
166 2404.45 6130.75
168 2433.77 6205.51
170 2463.09 6280.27
172 2492.41 6355.02
174 2521.72 6429.78
176 2551.04 6504.53
178 2580.36 6579.29
180 2609.68 6654.04
182 2639 6728.8
184 2668.32 6803.55
186 2697.64 6878.31
188 2726.95 6953.06
190 2756.27 7027.82
192 2785.59 7102.58
194 2814.91 7177.33
196 2844.23 7252.09
198 2873.55 7326.84
200 2902.87 7401.6
202 2932.19 7476.35
204 2961.5 7551.11
206 2990.82 7625.86
208 3020.14 7700.62
210 3049.46 7775.37
212 3078.78 7850.13
214 3108.1 7924.89
216 3137.42 7999.64
218 3166.73 8074.4
220 3196.05 8149.15
222 3225.37 8223.91
224 3254.69 8298.66
226 3284.01 8373.42
228 3313.33 8448.17
230 3342.65 8522.93
232 3371.97 8597.69
234 3401.28 8672.44
236 3430.6 8747.2
238 3459.92 8821.95
240 3489.24 8896.71
242 3518.56 8971.46
244 3547.88 9046.22
246 3577.2 9120.97
248 3606.52 9195.73
250 3635.83 9270.48
252 3665.15 9345.24
254 3694.47 9420
256 3723.79 9494.75
258 3753.11 9569.51
260 3782.43 9644.26
262 3811.75 9719.02
264 3841.06 9793.77
266 3870.38 9868.53
268 3899.7 9943.28
270 3929.02 10018
272 3958.34 10092.8
274 3987.66 10167.6
276 4016.98 10242.3
278 4046.3 10317.1
280 4075.61 10391.8
282 4104.93 10466.6
284 4134.25 10541.3
286 4163.57 10616.1
288 4192.89 10690.8
290 4222.21 10765.6
292 4251.53 10840.4
294 4280.85 10915.1
296 4310.16 10989.9
298 4339.48 11064.6
300 4368.8 11139.4
302 4398.12 11214.1
304 4427.44 11288.9
306 4456.76 11363.6
308 4486.08 11438.4
310 4515.4 11513.2
312 4544.71 11587.9
314 4574.03 11662.7
316 4603.35 11737.4
318 4632.67 11812.2
320 4661.99 11886.9
322 4691.31 11961.7
324 4720.63 12036.4
326 4749.95 12111.2
328 4779.26 12186
330 4808.58 12260.7
332 4837.9 12335.5
334 4867.22 12410.2
336 4896.54 12485
338 4925.86 12559.7
340 4955.18 12634.5
342 4984.49 12709.2
344 5013.81 12784
346 5043.13 12858.8
348 5072.45 12933.5
350 5101.77 13008.3
352 5131.09 13083
354 5160.41 13157.8
356 5189.73 13232.5
358 5219.04 13307.3
360 5248.36 13382
362 5277.68 13456.8
364 5307 13531.6
366 5336.32 13606.3
368 5365.64 13681.1
370 5394.96 13755.8
372 5424.28 13830.6
374 5453.59 13905.3
376 5482.91 13980.1
378 5512.23 14054.8
380 5541.55 14129.6
382 5570.87 14204.4
384 5600.19 14279.1
386 5629.51 14353.9
388 5658.83 14428.6
390 5688.14 14503.4
392 5717.46 14578.1
394 5746.78 14652.9
396 5776.1 14727.6
398 5805.42 14802.4
400 5834.74 14877.2
402 5864.06 14951.9
404 5893.38 15026.7
406 5922.69 15101.4
408 5952.01 15176.2
