MC_samples M E
1 0.14 -0.75
2 0.1525 -0.87
3 0.195 -1
4 0.22875 -1.085
5 0.26 -1.152
6 0.2975 -1.21333
7 0.320714 -1.25429
8 0.3425 -1.2875
9 0.371667 -1.32222
10 0.397 -1.356
11 0.422273 -1.38636
12 0.447083 -1.41083
13 0.469231 -1.43538
14 0.491071 -1.45714
15 0.511667 -1.47867
16 0.531562 -1.50188
17 0.550588 -1.52294
18 0.565278 -1.54056
19 0.58 -1.55579
20 0.59375 -1.5715
21 0.605714 -1.58571
22 0.617045 -1.59909
23 0.628913 -1.6113
24 0.64 -1.62292
25 0.651 -1.6336
26 0.6625 -1.64423
27 0.672963 -1.65407
28 0.683393 -1.66357
29 0.693966 -1.67414
30 0.704 -1.68433
31 0.713387 -1.69387
32 0.722344 -1.70344
33 0.730758 -1.71242
34 0.738676 -1.72088
35 0.746143 -1.72886
36 0.753194 -1.73639
37 0.759865 -1.74351
38 0.766184 -1.75026
39 0.772179 -1.75667
40 0.77775 -1.76225
41 0.783049 -1.76756
42 0.788214 -1.7731
43 0.79314 -1.77837
44 0.797841 -1.78341
45 0.802222 -1.78778
46 0.806413 -1.79196
47 0.810532 -1.79638
48 0.814479 -1.80063
49 0.818265 -1.80469
50 0.8219 -1.8086
51 0.825392 -1.81235
52 0.82875 -1.81596
53 0.831981 -1.81943
54 0.835093 -1.82278
55 0.837909 -1.82545
56 0.840625 -1.82786
57 0.843246 -1.83018
58 0.845948 -1.8331
59 0.848559 -1.83593
60 0.851083 -1.83867
61 0.853443 -1.84098
62 0.855806 -1.84355
63 0.858095 -1.84603
64 0.860313 -1.84844
65 0.862462 -1.85077
66 0.864545 -1.85303
67 0.866567 -1.85522
68 0.868529 -1.85735
69 0.870435 -1.85942
70 0.872286 -1.86143
71 0.874085 -1.86338
72 0.875833 -1.86528
73 0.877534 -1.86712
74 0.879189 -1.86892
75 0.8808 -1.87067
76 0.882368 -1.87237
77 0.883896 -1.87403
78 0.885321 -1.87538
79 0.886709 -1.87671
80 0.888062 -1.878
81 0.889444 -1.87951
82 0.890793 -1.88098
83 0.892108 -1.88241
84 0.893393 -1.88381
85 0.894647 -1.88518
86 0.895872 -1.88651
87 0.897011 -1.88759
88 0.898182 -1.88886
89 0.899326 -1.89011
90 0.900389 -1.89111
91 0.901484 -1.89231
92 0.902554 -1.89348
93 0.903602 -1.89462
94 0.904628 -1.89574
95 0.905632 -1.89684
96 0.906615 -1.89792
97 0.907577 -1.89897
98 0.908469 -1.8998
99 0.909343 -1.90061
100 0.91025 -1.9016
101 0.911139 -1.90257
102 0.91201 -1.90353
103 0.912864 -1.90447
104 0.913702 -1.90538
105 0.914524 -1.90629
106 0.91533 -1.90717
107 0.916121 -1.90804
108 0.916898 -1.90889
109 0.917661 -1.90972
110 0.918364 -1.91036
111 0.919099 -1.91117
112 0.919821 -1.91196
113 0.920531 -1.91274
114 0.921228 -1.91351
115 0.92187 -1.91409
116 0.9225 -1.91466
117 0.923077 -1.91504
118 0.923644 -1.91542
119 0.924286 -1.91613
120 0.924917 -1.91683
121 0.925537 -1.91752
122 0.926107 -1.91803
123 0.926707 -1.9187
124 0.927298 -1.91935
125 0.92788 -1.92
126 0.928452 -1.92063
127 0.929016 -1.92126
128 0.92957 -1.92188
129 0.930116 -1.92248
130 0.930654 -1.92308
131 0.931183 -1.92366
132 0.931705 -1.92424
133 0.932218 -1.92481
134 0.932724 -1.92537
135 0.933222 -1.92593
136 0.933713 -1.92647
137 0.934197 -1.92701
138 0.934638 -1.92739
139 0.935072 -1.92777
140 0.935536 -1.92829
141 0.935993 -1.92879
142 0.936444 -1.9293
143 0.936888 -1.92979
144 0.937326 -1.93028
145 0.937759 -1.93076
146 0.938185 -1.93123
147 0.938605 -1.9317
148 0.93902 -1.93216
149 0.93943 -1.93262
150 0.939833 -1.93307
151 0.940232 -1.93351
152 0.940625 -1.93395
153 0.941013 -1.93438
154 0.941396 -1.93481
