MC_samples M E
1 0.945 -1.81
2 0.925 -1.755
3 0.911667 -1.71333
4 0.9 -1.685
5 0.89 -1.656
6 0.883333 -1.64667
7 0.87 -1.62714
8 0.86875 -1.62375
9 0.866667 -1.61667
10 0.8625 -1.608
11 0.858636 -1.6
12 0.852083 -1.58333
13 0.845 -1.57
14 0.835714 -1.55214
15 0.829333 -1.53533
16 0.825625 -1.52563
17 0.822353 -1.51765
18 0.82 -1.51056
19 0.818684 -1.50737
20 0.818 -1.5065
21 0.817619 -1.50429
22 0.817727 -1.50364
23 0.815652 -1.5013
24 0.809167 -1.48875
25 0.8036 -1.48
26 0.796923 -1.46654
27 0.788704 -1.4563
28 0.783929 -1.45286
29 0.779655 -1.44724
30 0.776 -1.44567
31 0.770806 -1.44258
32 0.767813 -1.44344
33 0.762879 -1.44273
34 0.758971 -1.43794
35 0.756571 -1.432
36 0.753472 -1.42778
37 0.748784 -1.42
38 0.745921 -1.41553
39 0.743333 -1.41436
40 0.74375 -1.41525
41 0.744878 -1.41561
42 0.743452 -1.41119
43 0.741279 -1.40814
44 0.739886 -1.40659
45 0.738556 -1.40511
46 0.738043 -1.40565
47 0.737234 -1.40617
48 0.736146 -1.40521
49 0.735612 -1.40592
50 0.7358 -1.4058
51 0.73598 -1.4049
52 0.735865 -1.40288
53 0.73566 -1.40226
54 0.735278 -1.40167
55 0.734818 -1.40218
56 0.733482 -1.40107
57 0.73307 -1.4007
58 0.732672 -1.40034
59 0.732203 -1.39847
60 0.73025 -1.395
61 0.728115 -1.39148
62 0.725968 -1.38887
63 0.72381 -1.38794
64 0.721641 -1.38594
65 0.719692 -1.38431
66 0.71697 -1.38318
67 0.713358 -1.38075
68 0.710147 -1.37897
69 0.705942 -1.37739
70 0.702071 -1.376
71 0.698099 -1.37324
72 0.694583 -1.37181
73 0.691849 -1.3711
74 0.69 -1.37054
75 0.688133 -1.36907
76 0.685526 -1.36842
77 0.683766 -1.36688
78 0.682051 -1.36551
79 0.679873 -1.36392
80 0.677312 -1.36175
81 0.675309 -1.35938
82 0.673902 -1.35829
83 0.67253 -1.35639
84 0.67119 -1.35571
85 0.669588 -1.35341
86 0.66843 -1.3514
87 0.666954 -1.34966
88 0.664943 -1.34739
89 0.664045 -1.34562
90 0.662944 -1.34422
91 0.661868 -1.3433
92 0.661033 -1.34217
93 0.660538 -1.34097
94 0.660372 -1.33957
95 0.660526 -1.33884
96 0.660885 -1.33823
97 0.661495 -1.33887
98 0.661888 -1.33867
99 0.66197 -1.33889
100 0.6619 -1.3396
101 0.662079 -1.3405
102 0.661716 -1.3399
103 0.661456 -1.3399
104 0.661442 -1.3401
105 0.661429 -1.34
106 0.661557 -1.34104
107 0.661636 -1.34215
108 0.661759 -1.34324
109 0.661651 -1.34284
110 0.661182 -1.34273
111 0.660676 -1.3418
112 0.660357 -1.34116
113 0.659956 -1.34018
114 0.659167 -1.33895
115 0.658304 -1.33626
116 0.657672 -1.33474
117 0.656966 -1.33359
118 0.655339 -1.33229
119 0.653739 -1.33059
120 0.651792 -1.32942
121 0.650331 -1.32868
122 0.649016 -1.32787
123 0.648455 -1.32715
124 0.647782 -1.32629
125 0.64728 -1.32552
126 0.646429 -1.32452
127 0.645591 -1.32331
128 0.645 -1.3232
129 0.644961 -1.32341
130 0.644462 -1.32323
131 0.643817 -1.32305
132 0.643598 -1.32333
133 0.642331 -1.32218
134 0.641455 -1.32134
135 0.640556 -1.32104
136 0.638529 -1.32007
137 0.636861 -1.31956
138 0.635036 -1.31877
139 0.633741 -1.3182
140 0.632893 -1.3175
141 0.631667 -1.31631
142 0.629472 -1.31542
143 0.627343 -1.31462
144 0.625451 -1.3134
145 0.623103 -1.31276
146 0.620377 -1.31171
147 0.617245 -1.3098
148 0.614291 -1.30818
149 0.611443 -1.30658
150 0.6088 -1.3046
151 0.60596 -1.30291
152 0.603125 -1.30059
153 0.599967 -1.29843
154 0.596818 -1.29623
155 0.593516 -1.29413
156 0.590192 -1.29263
157 0.587006 -1.2907
158 0.583703 -1.2893
159 0.580535 -1.28887
160 0.577406 -1.28788
161 0.573913 -1.28696
162 0.570679 -1.28605
163 0.567761 -1.28472
164 0.565457 -1.28341
165 0.563485 -1.28158
166 0.561295 -1.28042
167 0.559461 -1.27916
168 0.55753 -1.27798
169 0.556006 -1.27615
170 0.554441 -1.27482
171 0.552749 -1.2738
172 0.55125 -1.27273
173 0.549509 -1.27139
174 0.547989 -1.26977
175 0.546829 -1.26874
176 0.545284 -1.26744
177 0.543588 -1.2661
178 0.541798 -1.26461
179 0.540084 -1.26246
180 0.538861 -1.26117
181 0.537182 -1.26
182 0.535769 -1.25951
183 0.534536 -1.25962
184 0.533071 -1.2594
185 0.532054 -1.25865
186 0.531237 -1.25801
187 0.530455 -1.25786
188 0.529654 -1.25697
189 0.528545 -1.25598
190 0.527684 -1.25516
191 0.526728 -1.25419
192 0.525781 -1.25302
193 0.52513 -1.25223
194 0.524253 -1.25108
195 0.523 -1.25005
196 0.522347 -1.24913
197 0.521751 -1.24838
198 0.521263 -1.24813
199 0.520452 -1.24789
200 0.519625 -1.24745
201 0.519055 -1.24716
202 0.518515 -1.24703
203 0.518424 -1.24665
204 0.518627 -1.24676
205 0.518439 -1.24668
206 0.518228 -1.24665
207 0.517874 -1.24643
208 0.517139 -1.24577
209 0.516124 -1.24522
210 0.515167 -1.24452
211 0.514384 -1.2436
212 0.51375 -1.24297
213 0.512793 -1.24174
214 0.511706 -1.24089
215 0.510605 -1.24033
216 0.509468 -1.23935
217 0.507903 -1.23825
218 0.506307 -1.23716
219 0.504247 -1.2363
220 0.502591 -1.23586
221 0.501086 -1.23534
222 0.499752 -1.23468
223 0.498632 -1.23448
224 0.497433 -1.23478
225 0.496044 -1.23458
226 0.494735 -1.23469
227 0.493678 -1.23449
228 0.492785 -1.23482
229 0.49155 -1.23498
230 0.490152 -1.23504
231 0.48881 -1.23476
232 0.487414 -1.23478
233 0.485708 -1.23399
234 0.48406 -1.23342
235 0.482511 -1.23281
236 0.480551 -1.23216
237 0.478819 -1.23169
238 0.476849 -1.23139
239 0.474854 -1.23105
240 0.472958 -1.23063
241 0.471017 -1.22971
242 0.469132 -1.22839
243 0.467346 -1.22761
244 0.465553 -1.22684
245 0.464 -1.22629
246 0.462459 -1.22553
247 0.460789 -1.22502
248 0.459032 -1.22427
249 0.45749 -1.22333
250 0.45574 -1.2224
251 0.454064 -1.22124
252 0.45248 -1.2202
253 0.451107 -1.21941
254 0.449783 -1.2187
255 0.448667 -1.2182
256 0.447461 -1.21777
257 0.446362 -1.21728
258 0.44564 -1.21694
259 0.444788 -1.21668
260 0.443788 -1.21677
261 0.442893 -1.21701
262 0.442042 -1.21695
263 0.441464 -1.21696
264 0.440777 -1.21655
265 0.440019 -1.21608
266 0.439549 -1.21579
267 0.43927 -1.21573
268 0.439067 -1.21556
269 0.439071 -1.21524
270 0.438944 -1.21489
271 0.438985 -1.21461
272 0.438952 -1.21426
273 0.439212 -1.21436
274 0.439361 -1.21434
