MC_samples M E
1 0.995 -1.98
2 0.9975 -1.99
3 0.998333 -1.99333
4 0.99875 -1.995
5 0.999 -1.996
6 0.999167 -1.99667
7 0.998571 -1.99429
8 0.99875 -1.995
9 0.998889 -1.99556
10 0.999 -1.996
11 0.999091 -1.99636
12 0.999167 -1.99667
13 0.999231 -1.99692
14 0.999286 -1.99714
15 0.999333 -1.99733
16 0.999375 -1.9975
17 0.999412 -1.99765
18 0.999444 -1.99778
19 0.999474 -1.99789
20 0.9995 -1.998
21 0.999524 -1.9981
22 0.999545 -1.99818
23 0.999565 -1.99826
24 0.999583 -1.99833
25 0.9996 -1.9984
26 0.999615 -1.99846
27 0.999444 -1.99778
28 0.999286 -1.99714
29 0.99931 -1.99724
30 0.999167 -1.99667
31 0.999194 -1.99677
32 0.999062 -1.99625
33 0.999091 -1.99636
34 0.998971 -1.99588
35 0.999 -1.996
36 0.999028 -1.99611
37 0.999054 -1.99622
38 0.999079 -1.99632
39 0.999103 -1.99641
40 0.999 -1.996
41 0.999024 -1.9961
42 0.999048 -1.99619
43 0.99907 -1.99628
44 0.999091 -1.99636
45 0.999111 -1.99644
46 0.999022 -1.99609
47 0.998936 -1.99574
48 0.998958 -1.99583
49 0.99898 -1.99592
50 0.999 -1.996
51 0.99902 -1.99608
52 0.999038 -1.99615
53 0.999057 -1.99623
54 0.999074 -1.9963
55 0.999091 -1.99636
56 0.999107 -1.99643
57 0.999123 -1.99649
58 0.999138 -1.99655
59 0.999153 -1.99661
60 0.999167 -1.99667
61 0.99918 -1.99672
62 0.999194 -1.99677
63 0.999206 -1.99683
64 0.999219 -1.99687
65 0.999231 -1.99692
66 0.999167 -1.99667
67 0.999104 -1.99642
68 0.999118 -1.99647
69 0.99913 -1.99652
70 0.999143 -1.99657
71 0.999155 -1.99662
72 0.999167 -1.99667
73 0.999178 -1.99671
74 0.999189 -1.99676
75 0.9992 -1.9968
76 0.999211 -1.99684
77 0.999221 -1.99688
78 0.999231 -1.99692
79 0.999241 -1.99696
80 0.99925 -1.997
81 0.999259 -1.99704
82 0.999268 -1.99707
83 0.999277 -1.99711
84 0.999286 -1.99714
85 0.999294 -1.99718
86 0.999302 -1.99721
87 0.99931 -1.99724
88 0.999318 -1.99727
89 0.999326 -1.9973
90 0.999333 -1.99733
91 0.999341 -1.99736
92 0.999348 -1.99739
