MC_samples M E
1 0.125 -0.58
2 0.135 -0.735
3 0.138333 -0.783333
4 0.165 -0.825
5 0.19 -0.862
6 0.199167 -0.896667
7 0.208571 -0.932857
8 0.223125 -0.95625
9 0.233333 -0.983333
10 0.2385 -0.985
11 0.235909 -0.992727
12 0.224583 -1.00167
13 0.211923 -1.00769
14 0.199286 -1.01429
15 0.188667 -1.01867
16 0.178125 -1.02312
17 0.170882 -1.03471
18 0.161667 -1.04333
19 0.155526 -1.05
20 0.1515 -1.0585
21 0.144524 -1.06238
22 0.138409 -1.06591
23 0.13587 -1.06478
24 0.131875 -1.07
25 0.129 -1.0736
26 0.128846 -1.08115
27 0.127593 -1.08778
28 0.127143 -1.0925
29 0.125862 -1.09138
30 0.1235 -1.09433
31 0.120806 -1.0971
32 0.121406 -1.09937
33 0.122576 -1.10273
34 0.124412 -1.10618
35 0.126286 -1.11086
36 0.127639 -1.11111
37 0.128649 -1.10973
38 0.129211 -1.10842
39 0.130769 -1.10718
40 0.131125 -1.10525
41 0.133049 -1.10439
42 0.134643 -1.10143
43 0.136977 -1.1014
44 0.140227 -1.10386
45 0.145111 -1.10644
46 0.149022 -1.10978
47 0.15117 -1.11511
48 0.153542 -1.12083
49 0.15551 -1.12388
50 0.157 -1.126
51 0.159314 -1.12902
52 0.163558 -1.13308
53 0.167547 -1.13585
54 0.170926 -1.13667
55 0.173909 -1.138
56 0.177679 -1.13982
57 0.181404 -1.14351
58 0.185172 -1.14534
59 0.188051 -1.14881
60 0.191083 -1.152
61 0.193689 -1.15377
62 0.196774 -1.15468
63 0.199762 -1.15651
64 0.202813 -1.15766
65 0.206231 -1.15862
66 0.208788 -1.15773
67 0.212015 -1.15761
68 0.215368 -1.15779
69 0.218478 -1.15797
70 0.220286 -1.15771
71 0.221479 -1.15789
72 0.223681 -1.15611
73 0.225411 -1.15425
74 0.228581 -1.15257
75 0.232133 -1.15213
76 0.236053 -1.15329
77 0.239351 -1.15325
78 0.244295 -1.155
79 0.248987 -1.15633
80 0.252812 -1.15613
