MC_samples M E
1 1 -2
2 1 -2
3 1 -2
4 1 -2
5 0.999 -1.996
6 0.998333 -1.99333
7 0.998571 -1.99429
8 0.99875 -1.995
9 0.998889 -1.99556
10 0.999 -1.996
11 0.999091 -1.99636
12 0.999167 -1.99667
13 0.999231 -1.99692
14 0.999286 -1.99714
15 0.999333 -1.99733
16 0.999375 -1.9975
17 0.999412 -1.99765
18 0.999444 -1.99778
19 0.999211 -1.99684
20 0.99925 -1.997
21 0.999286 -1.99714
22 0.999318 -1.99727
23 0.999348 -1.99739
24 0.999375 -1.9975
25 0.9994 -1.9976
26 0.999423 -1.99769
27 0.999259 -1.99704
28 0.999107 -1.99643
29 0.998966 -1.99586
30 0.999 -1.996
31 0.998871 -1.99548
32 0.99875 -1.995
33 0.998788 -1.99515
34 0.998824 -1.99529
35 0.998857 -1.99543
36 0.998889 -1.99556
37 0.998919 -1.99568
38 0.998947 -1.99579
39 0.998974 -1.9959
40 0.999 -1.996
41 0.999024 -1.9961
42 0.999048 -1.99619
43 0.99907 -1.99628
44 0.999091 -1.99636
45 0.999111 -1.99644
46 0.99913 -1.99652
47 0.999149 -1.9966
48 0.999167 -1.99667
49 0.999184 -1.99673
50 0.9992 -1.9968
51 0.999216 -1.99686
52 0.999231 -1.99692
53 0.999245 -1.99698
54 0.999259 -1.99704
55 0.999273 -1.99709
56 0.999286 -1.99714
57 0.999298 -1.99719
58 0.99931 -1.99724
59 0.999322 -1.99729
60 0.999333 -1.99733
61 0.999344 -1.99738
62 0.999355 -1.99742
63 0.999286 -1.99714
64 0.999219 -1.99687
65 0.999231 -1.99692
66 0.999242 -1.99697
67 0.999104 -1.99642
68 0.999044 -1.99618
69 0.998913 -1.9958
70 0.998857 -1.99557
71 0.998873 -1.99563
72 0.998889 -1.99569
73 0.998904 -1.99575
74 0.998919 -1.99581
75 0.998933 -1.99587
76 0.998947 -1.99592
77 0.998961 -1.99597
78 0.998974 -1.99603
79 0.998987 -1.99608
80 0.999 -1.99612
81 0.999012 -1.99617
82 0.999024 -1.99622
83 0.999036 -1.99627
84 0.999048 -1.99631
85 0.999059 -1.99635
86 0.999012 -1.99616
87 0.999023 -1.99621
88 0.999034 -1.99625
89 0.999045 -1.99629
90 0.999056 -1.99633
91 0.999066 -1.99637
92 0.999076 -1.99641
93 0.999086 -1.99645
94 0.999096 -1.99649
95 0.999105 -1.99653
96 0.999115 -1.99656
97 0.999124 -1.9966
98 0.999133 -1.99663
99 0.999091 -1.99646
100 0.9991 -1.9965
101 0.999109 -1.99653
102 0.999118 -1.99657
103 0.999126 -1.9966
104 0.999135 -1.99663
105 0.999143 -1.99667
